web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,n_offre,nom,localite,date_debut-jour,Nb semaines,cle_station,nom_station
,07/08/2023,19/08/2023,25/08/2023,640,640,3 Pièces pour 6 Personnes,735084,Résidence Mont Blanc,La Plagne - Plagne Centre,,33,76,LA PLAGNE - PLAGNE CENTRE
,07/08/2023,26/08/2023,01/09/2023,525,525,3 Pièces pour 6 Personnes,735084,Résidence Mont Blanc,La Plagne - Plagne Centre,,34,76,LA PLAGNE - PLAGNE CENTRE
,07/08/2023,16/12/2023,22/12/2023,700,700,2 Pièces pour 5 Personnes,734864,Résidence Mont Blanc,La Plagne - Plagne Centre,,50,76,LA PLAGNE - PLAGNE CENTRE
,07/08/2023,23/12/2023,29/12/2023,1119,1119,2 Pièces pour 5 Personnes,734864,Résidence Mont Blanc,La Plagne - Plagne Centre,,51,76,LA PLAGNE - PLAGNE CENTRE
,07/08/2023,06/01/2024,12/01/2024,700,700,2 Pièces pour 5 Personnes,734864,Résidence Mont Blanc,La Plagne - Plagne Centre,,1,76,LA PLAGNE - PLAGNE CENTRE
,07/08/2023,13/01/2024,19/01/2024,770,770,2 Pièces pour 5 Personnes,734864,Résidence Mont Blanc,La Plagne - Plagne Centre,,2,76,LA PLAGNE - PLAGNE CENTRE
,07/08/2023,20/01/2024,26/01/2024,840,840,2 Pièces pour 5 Personnes,734864,Résidence Mont Blanc,La Plagne - Plagne Centre,,3,76,LA PLAGNE - PLAGNE CENTRE
,07/08/2023,27/01/2024,02/02/2024,910,910,2 Pièces pour 5 Personnes,734864,Résidence Mont Blanc,La Plagne - Plagne Centre,,4,76,LA PLAGNE - PLAGNE CENTRE
,07/08/2023,03/02/2024,09/02/2024,979,979,2 Pièces pour 5 Personnes,734864,Résidence Mont Blanc,La Plagne - Plagne Centre,,5,76,LA PLAGNE - PLAGNE CENTRE
,07/08/2023,09/03/2024,15/03/2024,1049,1049,2 Pièces pour 5 Personnes,734864,Résidence Mont Blanc,La Plagne - Plagne Centre,,10,76,LA PLAGNE - PLAGNE CENTRE
,07/08/2023,16/03/2024,22/03/2024,979,979,2 Pièces pour 5 Personnes,734864,Résidence Mont Blanc,La Plagne - Plagne Centre,,11,76,LA PLAGNE - PLAGNE CENTRE
,07/08/2023,23/03/2024,29/03/2024,840,840,2 Pièces pour 5 Personnes,734864,Résidence Mont Blanc,La Plagne - Plagne Centre,,12,76,LA PLAGNE - PLAGNE CENTRE
,07/08/2023,30/03/2024,05/04/2024,910,910,2 Pièces pour 5 Personnes,734864,Résidence Mont Blanc,La Plagne - Plagne Centre,,13,76,LA PLAGNE - PLAGNE CENTRE
,07/08/2023,06/04/2024,12/04/2024,840,840,2 Pièces pour 5 Personnes,734864,Résidence Mont Blanc,La Plagne - Plagne Centre,,14,76,LA PLAGNE - PLAGNE CENTRE
,07/08/2023,13/04/2024,19/04/2024,770,770,2 Pièces pour 5 Personnes,734864,Résidence Mont Blanc,La Plagne - Plagne Centre,,15,76,LA PLAGNE - PLAGNE CENTRE
,07/08/2023,20/04/2024,26/04/2024,700,700,2 Pièces pour 5 Personnes,734864,Résidence Mont Blanc,La Plagne - Plagne Centre,,16,76,LA PLAGNE - PLAGNE CENTRE
,07/08/2023,19/08/2023,25/08/2023,620,558,2 Pièces 6 personnes,143560,Appartement 2 pièces proche des commerces,Saint-Sorlin-d'Arves,,33,91,SAINT-SORLIN-D'ARVES
,07/08/2023,26/08/2023,01/09/2023,620,558,2 Pièces 6 personnes,143560,Appartement 2 pièces proche des commerces,Saint-Sorlin-d'Arves,,34,91,SAINT-SORLIN-D'ARVES
,07/08/2023,02/09/2023,08/09/2023,620,558,2 Pièces 6 personnes,143560,Appartement 2 pièces proche des commerces,Saint-Sorlin-d'Arves,,35,91,SAINT-SORLIN-D'ARVES
,07/08/2023,09/09/2023,15/09/2023,447,402,2 Pièces 6 personnes,143560,Appartement 2 pièces proche des commerces,Saint-Sorlin-d'Arves,,36,91,SAINT-SORLIN-D'ARVES
,07/08/2023,16/09/2023,22/09/2023,447,447,2 Pièces 6 personnes,143560,Appartement 2 pièces proche des commerces,Saint-Sorlin-d'Arves,,37,91,SAINT-SORLIN-D'ARVES
,07/08/2023,23/09/2023,29/09/2023,447,447,2 Pièces 6 personnes,143560,Appartement 2 pièces proche des commerces,Saint-Sorlin-d'Arves,,38,91,SAINT-SORLIN-D'ARVES
,07/08/2023,30/09/2023,06/10/2023,447,447,2 Pièces 6 personnes,143560,Appartement 2 pièces proche des commerces,Saint-Sorlin-d'Arves,,39,91,SAINT-SORLIN-D'ARVES
,07/08/2023,07/10/2023,13/10/2023,447,447,2 Pièces 6 personnes,143560,Appartement 2 pièces proche des commerces,Saint-Sorlin-d'Arves,,40,91,SAINT-SORLIN-D'ARVES
,07/08/2023,14/10/2023,20/10/2023,447,447,2 Pièces 6 personnes,143560,Appartement 2 pièces proche des commerces,Saint-Sorlin-d'Arves,,41,91,SAINT-SORLIN-D'ARVES
,07/08/2023,21/10/2023,27/10/2023,447,447,2 Pièces 6 personnes,143560,Appartement 2 pièces proche des commerces,Saint-Sorlin-d'Arves,,42,91,SAINT-SORLIN-D'ARVES
,07/08/2023,28/10/2023,03/11/2023,447,447,2 Pièces 6 personnes,143560,Appartement 2 pièces proche des commerces,Saint-Sorlin-d'Arves,,43,91,SAINT-SORLIN-D'ARVES
,07/08/2023,04/11/2023,10/11/2023,447,447,2 Pièces 6 personnes,143560,Appartement 2 pièces proche des commerces,Saint-Sorlin-d'Arves,,44,91,SAINT-SORLIN-D'ARVES
,07/08/2023,11/11/2023,17/11/2023,447,447,2 Pièces 6 personnes,143560,Appartement 2 pièces proche des commerces,Saint-Sorlin-d'Arves,,45,91,SAINT-SORLIN-D'ARVES
,07/08/2023,18/11/2023,24/11/2023,447,447,2 Pièces 6 personnes,143560,Appartement 2 pièces proche des commerces,Saint-Sorlin-d'Arves,,46,91,SAINT-SORLIN-D'ARVES
,07/08/2023,25/11/2023,01/12/2023,447,447,2 Pièces 6 personnes,143560,Appartement 2 pièces proche des commerces,Saint-Sorlin-d'Arves,,47,91,SAINT-SORLIN-D'ARVES
,07/08/2023,02/12/2023,08/12/2023,447,447,2 Pièces 6 personnes,143560,Appartement 2 pièces proche des commerces,Saint-Sorlin-d'Arves,,48,91,SAINT-SORLIN-D'ARVES
,07/08/2023,09/12/2023,15/12/2023,447,447,2 Pièces 6 personnes,143560,Appartement 2 pièces proche des commerces,Saint-Sorlin-d'Arves,,49,91,SAINT-SORLIN-D'ARVES
,07/08/2023,16/12/2023,22/12/2023,447,447,2 Pièces 6 personnes,143560,Appartement 2 pièces proche des commerces,Saint-Sorlin-d'Arves,,50,91,SAINT-SORLIN-D'ARVES
,07/08/2023,23/12/2023,29/12/2023,1131,1131,2 Pièces 6 personnes,143560,Appartement 2 pièces proche des commerces,Saint-Sorlin-d'Arves,,51,91,SAINT-SORLIN-D'ARVES
,07/08/2023,06/01/2024,12/01/2024,453,453,2 Pièces 6 personnes,143560,Appartement 2 pièces proche des commerces,Saint-Sorlin-d'Arves,,1,91,SAINT-SORLIN-D'ARVES
,07/08/2023,13/01/2024,19/01/2024,453,453,2 Pièces 6 personnes,143560,Appartement 2 pièces proche des commerces,Saint-Sorlin-d'Arves,,2,91,SAINT-SORLIN-D'ARVES
,07/08/2023,20/01/2024,26/01/2024,553,553,2 Pièces 6 personnes,143560,Appartement 2 pièces proche des commerces,Saint-Sorlin-d'Arves,,3,91,SAINT-SORLIN-D'ARVES
,07/08/2023,27/01/2024,02/02/2024,666,666,2 Pièces 6 personnes,143560,Appartement 2 pièces proche des commerces,Saint-Sorlin-d'Arves,,4,91,SAINT-SORLIN-D'ARVES
,07/08/2023,03/02/2024,09/02/2024,666,666,2 Pièces 6 personnes,143560,Appartement 2 pièces proche des commerces,Saint-Sorlin-d'Arves,,5,91,SAINT-SORLIN-D'ARVES
,07/08/2023,10/02/2024,16/02/2024,1690,1690,2 Pièces 6 personnes,143560,Appartement 2 pièces proche des commerces,Saint-Sorlin-d'Arves,,6,91,SAINT-SORLIN-D'ARVES
,07/08/2023,17/02/2024,23/02/2024,1690,1690,2 Pièces 6 personnes,143560,Appartement 2 pièces proche des commerces,Saint-Sorlin-d'Arves,,7,91,SAINT-SORLIN-D'ARVES
,07/08/2023,24/02/2024,01/03/2024,1690,1690,2 Pièces 6 personnes,143560,Appartement 2 pièces proche des commerces,Saint-Sorlin-d'Arves,,8,91,SAINT-SORLIN-D'ARVES
,07/08/2023,19/08/2023,25/08/2023,620,558,2 Pièces 6 personnes,143560,Appartement 2 pièces proche des commerces,Saint-Sorlin-d'Arves,,33,91,SAINT-SORLIN-D'ARVES
,07/08/2023,26/08/2023,01/09/2023,620,558,2 Pièces 6 personnes,143560,Appartement 2 pièces proche des commerces,Saint-Sorlin-d'Arves,,34,91,SAINT-SORLIN-D'ARVES
,07/08/2023,02/09/2023,08/09/2023,620,558,2 Pièces 6 personnes,143560,Appartement 2 pièces proche des commerces,Saint-Sorlin-d'Arves,,35,91,SAINT-SORLIN-D'ARVES
,07/08/2023,09/09/2023,15/09/2023,447,402,2 Pièces 6 personnes,143560,Appartement 2 pièces proche des commerces,Saint-Sorlin-d'Arves,,36,91,SAINT-SORLIN-D'ARVES
,07/08/2023,16/09/2023,22/09/2023,447,447,2 Pièces 6 personnes,143560,Appartement 2 pièces proche des commerces,Saint-Sorlin-d'Arves,,37,91,SAINT-SORLIN-D'ARVES
