web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,n_offre,nom,localite,date_debut-jour,Nb semaines,cle_station,nom_station
,07/08/2023,16/09/2023,22/09/2023,570,542,2 Pièces 6 Personnes,88305,Résidence LE MAYFLOWER,Le Grau-du-Roi,,37,618,LE GRAU-DU-ROI
,07/08/2023,23/09/2023,29/09/2023,570,542,2 Pièces 6 Personnes,88305,Résidence LE MAYFLOWER,Le Grau-du-Roi,,38,618,LE GRAU-DU-ROI
,07/08/2023,30/09/2023,06/10/2023,570,542,2 Pièces 6 Personnes,88305,Résidence LE MAYFLOWER,Le Grau-du-Roi,,39,618,LE GRAU-DU-ROI
,07/08/2023,07/10/2023,13/10/2023,570,542,2 Pièces 6 Personnes,88305,Résidence LE MAYFLOWER,Le Grau-du-Roi,,40,618,LE GRAU-DU-ROI
,07/08/2023,14/10/2023,20/10/2023,570,542,2 Pièces 6 Personnes,88305,Résidence LE MAYFLOWER,Le Grau-du-Roi,,41,618,LE GRAU-DU-ROI
,07/08/2023,21/10/2023,27/10/2023,570,542,2 Pièces 6 Personnes,88305,Résidence LE MAYFLOWER,Le Grau-du-Roi,,42,618,LE GRAU-DU-ROI
,07/08/2023,28/10/2023,03/11/2023,570,542,2 Pièces 6 Personnes,88305,Résidence LE MAYFLOWER,Le Grau-du-Roi,,43,618,LE GRAU-DU-ROI
,07/08/2023,12/08/2023,18/08/2023,810,810,Chalets pour 7 Personnes,522064,Résidence Parc Aux Etoiles,Puy-Saint-Vincent,,32,82,PUY-SAINT-VINCENT
,07/08/2023,19/08/2023,25/08/2023,648,648,Chalets pour 7 Personnes,522064,Résidence Parc Aux Etoiles,Puy-Saint-Vincent,,33,82,PUY-SAINT-VINCENT
,07/08/2023,26/08/2023,01/09/2023,486,486,Chalets pour 7 Personnes,522064,Résidence Parc Aux Etoiles,Puy-Saint-Vincent,,34,82,PUY-SAINT-VINCENT
,07/08/2023,16/12/2023,22/12/2023,921,737,Chalets pour 7 Personnes,522064,Résidence Parc Aux Etoiles,Puy-Saint-Vincent,,50,82,PUY-SAINT-VINCENT
,07/08/2023,12/08/2023,18/08/2023,810,810,Chalets pour 7 Personnes,522064,Résidence Parc Aux Etoiles,Puy-Saint-Vincent,,32,82,PUY-SAINT-VINCENT
,07/08/2023,19/08/2023,25/08/2023,648,648,Chalets pour 7 Personnes,522064,Résidence Parc Aux Etoiles,Puy-Saint-Vincent,,33,82,PUY-SAINT-VINCENT
,07/08/2023,26/08/2023,01/09/2023,486,486,Chalets pour 7 Personnes,522064,Résidence Parc Aux Etoiles,Puy-Saint-Vincent,,34,82,PUY-SAINT-VINCENT
,07/08/2023,16/12/2023,22/12/2023,921,737,Chalets pour 7 Personnes,522064,Résidence Parc Aux Etoiles,Puy-Saint-Vincent,,50,82,PUY-SAINT-VINCENT
,07/08/2023,19/08/2023,25/08/2023,660,594,3 Pièces pour 6 Personnes,887774,Résidence Soleil D'arbois - Anemones,Saint-Gervais-les-Bains,,33,1753,SAINT-GERVAIS-LES-BAINS
,07/08/2023,26/08/2023,01/09/2023,660,594,3 Pièces pour 6 Personnes,887774,Résidence Soleil D'arbois - Anemones,Saint-Gervais-les-Bains,,34,1753,SAINT-GERVAIS-LES-BAINS
,07/08/2023,02/09/2023,08/09/2023,520,520,3 Pièces pour 6 Personnes,887774,Résidence Soleil D'arbois - Anemones,Saint-Gervais-les-Bains,,35,1753,SAINT-GERVAIS-LES-BAINS
,07/08/2023,09/09/2023,15/09/2023,520,520,3 Pièces pour 6 Personnes,887774,Résidence Soleil D'arbois - Anemones,Saint-Gervais-les-Bains,,36,1753,SAINT-GERVAIS-LES-BAINS
,07/08/2023,16/09/2023,22/09/2023,520,520,3 Pièces pour 6 Personnes,887774,Résidence Soleil D'arbois - Anemones,Saint-Gervais-les-Bains,,37,1753,SAINT-GERVAIS-LES-BAINS
,07/08/2023,23/09/2023,29/09/2023,520,520,3 Pièces pour 6 Personnes,887774,Résidence Soleil D'arbois - Anemones,Saint-Gervais-les-Bains,,38,1753,SAINT-GERVAIS-LES-BAINS
,07/08/2023,30/09/2023,06/10/2023,520,520,3 Pièces pour 6 Personnes,887774,Résidence Soleil D'arbois - Anemones,Saint-Gervais-les-Bains,,39,1753,SAINT-GERVAIS-LES-BAINS
,07/08/2023,07/10/2023,13/10/2023,520,520,3 Pièces pour 6 Personnes,887774,Résidence Soleil D'arbois - Anemones,Saint-Gervais-les-Bains,,40,1753,SAINT-GERVAIS-LES-BAINS
,07/08/2023,14/10/2023,20/10/2023,520,520,3 Pièces pour 6 Personnes,887774,Résidence Soleil D'arbois - Anemones,Saint-Gervais-les-Bains,,41,1753,SAINT-GERVAIS-LES-BAINS
,07/08/2023,21/10/2023,27/10/2023,610,610,3 Pièces pour 6 Personnes,887774,Résidence Soleil D'arbois - Anemones,Saint-Gervais-les-Bains,,42,1753,SAINT-GERVAIS-LES-BAINS
,07/08/2023,28/10/2023,03/11/2023,610,610,3 Pièces pour 6 Personnes,887774,Résidence Soleil D'arbois - Anemones,Saint-Gervais-les-Bains,,43,1753,SAINT-GERVAIS-LES-BAINS
,07/08/2023,04/11/2023,10/11/2023,610,610,3 Pièces pour 6 Personnes,887774,Résidence Soleil D'arbois - Anemones,Saint-Gervais-les-Bains,,44,1753,SAINT-GERVAIS-LES-BAINS
,07/08/2023,11/11/2023,17/11/2023,610,610,3 Pièces pour 6 Personnes,887774,Résidence Soleil D'arbois - Anemones,Saint-Gervais-les-Bains,,45,1753,SAINT-GERVAIS-LES-BAINS
,07/08/2023,18/11/2023,24/11/2023,610,610,3 Pièces pour 6 Personnes,887774,Résidence Soleil D'arbois - Anemones,Saint-Gervais-les-Bains,,46,1753,SAINT-GERVAIS-LES-BAINS
,07/08/2023,25/11/2023,01/12/2023,610,610,3 Pièces pour 6 Personnes,887774,Résidence Soleil D'arbois - Anemones,Saint-Gervais-les-Bains,,47,1753,SAINT-GERVAIS-LES-BAINS
,07/08/2023,02/12/2023,08/12/2023,610,610,3 Pièces pour 6 Personnes,887774,Résidence Soleil D'arbois - Anemones,Saint-Gervais-les-Bains,,48,1753,SAINT-GERVAIS-LES-BAINS
,07/08/2023,09/12/2023,15/12/2023,610,610,3 Pièces pour 6 Personnes,887774,Résidence Soleil D'arbois - Anemones,Saint-Gervais-les-Bains,,49,1753,SAINT-GERVAIS-LES-BAINS
,07/08/2023,16/12/2023,22/12/2023,1000,1000,3 Pièces pour 6 Personnes,887774,Résidence Soleil D'arbois - Anemones,Saint-Gervais-les-Bains,,50,1753,SAINT-GERVAIS-LES-BAINS
,07/08/2023,23/12/2023,29/12/2023,1130,1130,3 Pièces pour 6 Personnes,887774,Résidence Soleil D'arbois - Anemones,Saint-Gervais-les-Bains,,51,1753,SAINT-GERVAIS-LES-BAINS
,07/08/2023,30/12/2023,05/01/2024,1350,1350,3 Pièces pour 6 Personnes,887774,Résidence Soleil D'arbois - Anemones,Saint-Gervais-les-Bains,,52,1753,SAINT-GERVAIS-LES-BAINS
,07/08/2023,06/01/2024,12/01/2024,1000,1000,3 Pièces pour 6 Personnes,887774,Résidence Soleil D'arbois - Anemones,Saint-Gervais-les-Bains,,1,1753,SAINT-GERVAIS-LES-BAINS
