web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,n_offre,nom,localite,date_debut-jour,Nb semaines,cle_station,nom_station
,07/08/2023,02/09/2023,08/09/2023,567,567,2 Pièces pour 4 Personnes,595824,Résidence Alberes,Saint Cyprien - Pyrénées Orientales,,35,137,SAINT CYPRIEN - PYRÉNÉES ORIENTALES
,07/08/2023,09/09/2023,15/09/2023,567,567,2 Pièces pour 4 Personnes,595824,Résidence Alberes,Saint Cyprien - Pyrénées Orientales,,36,137,SAINT CYPRIEN - PYRÉNÉES ORIENTALES
,07/08/2023,16/09/2023,22/09/2023,567,567,2 Pièces pour 4 Personnes,595824,Résidence Alberes,Saint Cyprien - Pyrénées Orientales,,37,137,SAINT CYPRIEN - PYRÉNÉES ORIENTALES
,07/08/2023,23/09/2023,29/09/2023,567,567,2 Pièces pour 4 Personnes,595824,Résidence Alberes,Saint Cyprien - Pyrénées Orientales,,38,137,SAINT CYPRIEN - PYRÉNÉES ORIENTALES
,07/08/2023,30/09/2023,06/10/2023,567,567,2 Pièces pour 4 Personnes,595824,Résidence Alberes,Saint Cyprien - Pyrénées Orientales,,39,137,SAINT CYPRIEN - PYRÉNÉES ORIENTALES
,07/08/2023,07/10/2023,13/10/2023,567,567,2 Pièces pour 4 Personnes,595824,Résidence Alberes,Saint Cyprien - Pyrénées Orientales,,40,137,SAINT CYPRIEN - PYRÉNÉES ORIENTALES
,07/08/2023,14/10/2023,20/10/2023,567,567,2 Pièces pour 4 Personnes,595824,Résidence Alberes,Saint Cyprien - Pyrénées Orientales,,41,137,SAINT CYPRIEN - PYRÉNÉES ORIENTALES
,07/08/2023,21/10/2023,27/10/2023,517,517,2 Pièces pour 4 Personnes,595824,Résidence Alberes,Saint Cyprien - Pyrénées Orientales,,42,137,SAINT CYPRIEN - PYRÉNÉES ORIENTALES
,07/08/2023,28/10/2023,03/11/2023,517,517,2 Pièces pour 4 Personnes,595824,Résidence Alberes,Saint Cyprien - Pyrénées Orientales,,43,137,SAINT CYPRIEN - PYRÉNÉES ORIENTALES
,07/08/2023,30/09/2023,06/10/2023,445,423,3 Pièces 4 Personnes,200483,Résidence Camargue Village,Le Grau-du-Roi,,39,618,LE GRAU-DU-ROI
,07/08/2023,07/10/2023,13/10/2023,445,423,3 Pièces 4 Personnes,200483,Résidence Camargue Village,Le Grau-du-Roi,,40,618,LE GRAU-DU-ROI
,07/08/2023,14/10/2023,20/10/2023,445,423,3 Pièces 4 Personnes,200483,Résidence Camargue Village,Le Grau-du-Roi,,41,618,LE GRAU-DU-ROI
,07/08/2023,21/10/2023,27/10/2023,445,423,3 Pièces 4 Personnes,200483,Résidence Camargue Village,Le Grau-du-Roi,,42,618,LE GRAU-DU-ROI
,07/08/2023,28/10/2023,03/11/2023,445,423,3 Pièces 4 Personnes,200483,Résidence Camargue Village,Le Grau-du-Roi,,43,618,LE GRAU-DU-ROI
,07/08/2023,12/08/2023,18/08/2023,408,408,2 Pièces pour 4 Personnes,308804,Résidence Charmaix,Valfréjus,,32,104,VALFRÉJUS
,07/08/2023,19/08/2023,25/08/2023,408,408,2 Pièces pour 4 Personnes,308804,Résidence Charmaix,Valfréjus,,33,104,VALFRÉJUS
,07/08/2023,26/08/2023,01/09/2023,408,408,2 Pièces pour 4 Personnes,308804,Résidence Charmaix,Valfréjus,,34,104,VALFRÉJUS
,07/08/2023,12/08/2023,18/08/2023,408,408,2 Pièces pour 4 Personnes,308804,Résidence Charmaix,Valfréjus,,32,104,VALFRÉJUS
,07/08/2023,19/08/2023,25/08/2023,408,408,2 Pièces pour 4 Personnes,308804,Résidence Charmaix,Valfréjus,,33,104,VALFRÉJUS
,07/08/2023,26/08/2023,01/09/2023,408,408,2 Pièces pour 4 Personnes,308804,Résidence Charmaix,Valfréjus,,34,104,VALFRÉJUS
,07/08/2023,23/12/2023,29/12/2023,648,648,2 Pièces pour 4 Personnes,308804,Résidence Charmaix,Valfréjus,,51,104,VALFRÉJUS
,07/08/2023,30/12/2023,05/01/2024,867,867,2 Pièces pour 4 Personnes,308804,Résidence Charmaix,Valfréjus,,52,104,VALFRÉJUS
,07/08/2023,06/01/2024,12/01/2024,450,450,2 Pièces pour 4 Personnes,308804,Résidence Charmaix,Valfréjus,,1,104,VALFRÉJUS
,07/08/2023,13/01/2024,19/01/2024,450,450,2 Pièces pour 4 Personnes,308804,Résidence Charmaix,Valfréjus,,2,104,VALFRÉJUS
,07/08/2023,20/01/2024,26/01/2024,450,450,2 Pièces pour 4 Personnes,308804,Résidence Charmaix,Valfréjus,,3,104,VALFRÉJUS
,07/08/2023,27/01/2024,02/02/2024,450,450,2 Pièces pour 4 Personnes,308804,Résidence Charmaix,Valfréjus,,4,104,VALFRÉJUS
,07/08/2023,03/02/2024,09/02/2024,648,648,2 Pièces pour 4 Personnes,308804,Résidence Charmaix,Valfréjus,,5,104,VALFRÉJUS
,07/08/2023,10/02/2024,16/02/2024,867,867,2 Pièces pour 4 Personnes,308804,Résidence Charmaix,Valfréjus,,6,104,VALFRÉJUS
,07/08/2023,17/02/2024,23/02/2024,867,867,2 Pièces pour 4 Personnes,308804,Résidence Charmaix,Valfréjus,,7,104,VALFRÉJUS
,07/08/2023,24/02/2024,01/03/2024,867,867,2 Pièces pour 4 Personnes,308804,Résidence Charmaix,Valfréjus,,8,104,VALFRÉJUS
,07/08/2023,02/03/2024,08/03/2024,867,867,2 Pièces pour 4 Personnes,308804,Résidence Charmaix,Valfréjus,,9,104,VALFRÉJUS
,07/08/2023,09/03/2024,15/03/2024,648,648,2 Pièces pour 4 Personnes,308804,Résidence Charmaix,Valfréjus,,10,104,VALFRÉJUS
,07/08/2023,16/03/2024,22/03/2024,450,450,2 Pièces pour 4 Personnes,308804,Résidence Charmaix,Valfréjus,,11,104,VALFRÉJUS
,07/08/2023,23/03/2024,29/03/2024,450,450,2 Pièces pour 4 Personnes,308804,Résidence Charmaix,Valfréjus,,12,104,VALFRÉJUS
,07/08/2023,30/03/2024,05/04/2024,450,450,2 Pièces pour 4 Personnes,308804,Résidence Charmaix,Valfréjus,,13,104,VALFRÉJUS
,07/08/2023,06/04/2024,12/04/2024,450,450,2 Pièces pour 4 Personnes,308804,Résidence Charmaix,Valfréjus,,14,104,VALFRÉJUS
,07/08/2023,09/12/2023,15/12/2023,598,544,Studio 4 Personnes - Confort,800814,Chalet Peyrefolle - maeva Home,Vars,,49,110,VARS
,07/08/2023,09/12/2023,15/12/2023,716,652,Appartement 3 pièces 5 personnes - Sélection,812364,Chalet Peyrefolle - maeva Home,Vars,,49,110,VARS
,07/08/2023,16/12/2023,22/12/2023,907,825,Studio 4 Personnes - Confort,800814,Chalet Peyrefolle - maeva Home,Vars,,50,110,VARS
,07/08/2023,16/12/2023,22/12/2023,1131,1029,Appartement 3 pièces 5 personnes - Sélection,812364,Chalet Peyrefolle - maeva Home,Vars,,50,110,VARS
,07/08/2023,23/12/2023,29/12/2023,877,807,Studio 4 Personnes - Confort,800814,Chalet Peyrefolle - maeva Home,Vars,,51,110,VARS
,07/08/2023,23/12/2023,29/12/2023,1070,974,Appartement 3 pièces 5 personnes - Sélection,812364,Chalet Peyrefolle - maeva Home,Vars,,51,110,VARS
,07/08/2023,30/12/2023,05/01/2024,1354,1232,Studio 4 Personnes - Confort,800814,Chalet Peyrefolle - maeva Home,Vars,,52,110,VARS
