web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,n_offre,nom,Nb personnes,localite,date_debut-jour,Nb semaines,cle_station,nom_station
,07/08/2023,10/09/2023,17/09/2023,350,252,TENTE TOILE ET BOIS 5 personnes - Tente Nature Lodge | 5 personnes | 2 chambres,,Camping La Marine,4 Adultes, 30240 LE GRAU DU ROI,,36,camping-la-marine-77580,
,07/08/2023,30/12/2023,06/01/2024,498.75,498.75,MOBILHOME 4 personnes - Montagnon 3 Pièces 4 Personnes + TV,,Camping Des Gaves,4 Adultes, 64440 LARUNS,,52,camping-des-gaves-79684,
,07/08/2023,30/12/2023,06/01/2024,609,609,CHALET 6 personnes - 3 Pièces 6 Personnes + TV,,Camping Des Gaves,6 Adultes, 64440 LARUNS,,52,camping-des-gaves-79684,
,07/08/2023,30/12/2023,06/01/2024,682.50,682.50,TENTE TOILE ET BOIS 5 personnes - Lodge Confort 3 Pièces 5 Personnes + TV,,Camping Des Gaves,5 Adultes, 64440 LARUNS,,52,camping-des-gaves-79684,
,07/08/2023,02/09/2023,09/09/2023,320,320,MOBILHOME 2 personnes - O'Hara 18 m²,,Camping le Moulin du Pont d'Alies,2 Adultes, 11140 AXAT,,35,camping-le-moulin-du-pont-dalies-76810,
,07/08/2023,02/09/2023,09/09/2023,348,348,MOBILHOME 4 personnes - IRM,,Camping le Moulin du Pont d'Alies,4 Adultes, 11140 AXAT,,35,camping-le-moulin-du-pont-dalies-76810,
,07/08/2023,02/09/2023,09/09/2023,352,352,CHALET 5 personnes - Titom 31,,Camping le Moulin du Pont d'Alies,4 Adultes, 11140 AXAT,,35,camping-le-moulin-du-pont-dalies-76810,
,07/08/2023,02/09/2023,09/09/2023,370,370,MOBILHOME 4 personnes - Trigano 31 terrasse,,Camping le Moulin du Pont d'Alies,4 Adultes, 11140 AXAT,,35,camping-le-moulin-du-pont-dalies-76810,
,07/08/2023,02/09/2023,09/09/2023,370,370,MOBILHOME 5 personnes - Trigano 27,,Camping le Moulin du Pont d'Alies,4 Adultes, 11140 AXAT,,35,camping-le-moulin-du-pont-dalies-76810,
,07/08/2023,02/09/2023,09/09/2023,475,475,MOBILHOME 6 personnes - Trigano 31,,Camping le Moulin du Pont d'Alies,6 Adultes, 11140 AXAT,,35,camping-le-moulin-du-pont-dalies-76810,
,07/08/2023,03/09/2023,10/09/2023,219,219,BUNGALOW 2 personnes - PLUME - sans sanitaires 12 m²,,Camping de La Gare,2 Adultes, 66760 UR,,35,camping-de-la-gare-79388,
,07/08/2023,03/09/2023,10/09/2023,219,219,BUNGALOW 3 personnes - POLOCHON - sans sanitaires 20 m²,,Camping de La Gare,3 Adultes, 66760 UR,,35,camping-de-la-gare-79388,
,07/08/2023,03/09/2023,10/09/2023,364,364,BUNGALOW 4 personnes - COCO SWEET - sans sanitaires 16 m²,,Camping de La Gare,2 Adultes, 66760 UR,,35,camping-de-la-gare-79388,
,07/08/2023,03/09/2023,10/09/2023,445,445,MOBILHOME 2 personnes - MH1 16 m²,,Camping de La Gare,2 Adultes, 66760 UR,,35,camping-de-la-gare-79388,
,07/08/2023,03/09/2023,10/09/2023,490,490,MOBILHOME 4 personnes - MH2 25 m²,,Camping de La Gare,4 Adultes, 66760 UR,,35,camping-de-la-gare-79388,
,07/08/2023,03/09/2023,10/09/2023,530,530,MOBILHOME 6 personnes - MH2 - avec convertible 27 m²,,Camping de La Gare,6 Adultes, 66760 UR,,35,camping-de-la-gare-79388,
,07/08/2023,03/09/2023,10/09/2023,570,570,MOBILHOME 6 personnes - MH2 avec convertible 27 m²,,Camping de La Gare,4 Adultes, 66760 UR,,35,camping-de-la-gare-79388,
,07/08/2023,03/09/2023,10/09/2023,398,398,MOBILHOME 4 personnes - Océane,,Camping Résidentiel La Pinède,4 Adultes, 34120 CASTELNAU DE GUERS,,35,camping-residentiel-la-pinede-77040,
,07/08/2023,03/09/2023,10/09/2023,412,412,MOBILHOME 6 personnes - Grand Large pour 4/6 personnes (2 chambres),,Camping Résidentiel La Pinède,4 Adultes, 34120 CASTELNAU DE GUERS,,35,camping-residentiel-la-pinede-77040,
,07/08/2023,03/09/2023,10/09/2023,412,412,MOBILHOME 4 personnes - Sumba,,Camping Résidentiel La Pinède,4 Adultes, 34120 CASTELNAU DE GUERS,,35,camping-residentiel-la-pinede-77040,
,07/08/2023,03/09/2023,10/09/2023,440,440,MOBILHOME 6 personnes - Blueberry pour 4/6 personnes (2 chambres),,Camping Résidentiel La Pinède,4 Adultes, 34120 CASTELNAU DE GUERS,,35,camping-residentiel-la-pinede-77040,
,07/08/2023,03/09/2023,10/09/2023,447,447,MOBILHOME 4 personnes - Tribord,,Camping Résidentiel La Pinède,2 Adultes, 34120 CASTELNAU DE GUERS,,35,camping-residentiel-la-pinede-77040,
,07/08/2023,03/09/2023,10/09/2023,482,482,MOBILHOME 6 personnes - Blueberry 3,,Camping Résidentiel La Pinède,6 Adultes, 34120 CASTELNAU DE GUERS,,35,camping-residentiel-la-pinede-77040,
,07/08/2023,03/09/2023,10/09/2023,296.30,267.30,CHALET 5 personnes - Evasion 5 personnes 2 chambres 26m²,,Camping La Maïre,5 Adultes, 34410 SERIGNAN,,35,camping-la-maire-78521,
,07/08/2023,03/09/2023,10/09/2023,296.30,267.30,CHALET 5 personnes - Chalet bois Evasion 5 personnes 2 chambres 26m²,,Camping La Maïre,5 Adultes, 34410 SERIGNAN,,35,camping-la-maire-78521,
,07/08/2023,03/09/2023,10/09/2023,310.90,279.90,MOBILHOME 6 personnes - Evasion 6 personnes 2 chambres 28m²,,Camping La Maïre,6 Adultes, 34410 SERIGNAN,,35,camping-la-maire-78521,
,07/08/2023,03/09/2023,10/09/2023,310.90,279.90,MOBILHOME 6 personnes - Evasion 6 personnes 2 chambres 28m²,,Camping La Maïre,6 Adultes, 34410 SERIGNAN,,35,camping-la-maire-78521,
,07/08/2023,03/09/2023,10/09/2023,317.20,286.20,CHALET 6 personnes - Loisir 6 personnes 3 chambres 30m²,,Camping La Maïre,6 Adultes, 34410 SERIGNAN,,35,camping-la-maire-78521,
,07/08/2023,03/09/2023,10/09/2023,317.20,286.20,MOBILHOME 6 personnes - Loisir 6 personnes 3 chambres 30m²,,Camping La Maïre,6 Adultes, 34410 SERIGNAN,,35,camping-la-maire-78521,
,07/08/2023,03/09/2023,10/09/2023,317.20,286.20,CHALET 6 personnes - Loisir 6 personnes 3 chambres 30m²,,Camping La Maïre,6 Adultes, 34410 SERIGNAN,,35,camping-la-maire-78521,
,07/08/2023,03/09/2023,10/09/2023,317.20,286.20,CHALET 6 personnes - Loisir 6 personnes 3 chambres 35m²,,Camping La Maïre,6 Adultes, 34410 SERIGNAN,,35,camping-la-maire-78521,
,07/08/2023,03/09/2023,10/09/2023,317.20,286.20,CHALET 6 personnes - Loisir 6 personnes 3 chambres 35m²,,Camping La Maïre,6 Adultes, 34410 SERIGNAN,,35,camping-la-maire-78521,
,07/08/2023,03/09/2023,10/09/2023,317.20,286.20,MOBILHOME 6 personnes - Loisir+ 6 personnes 3 chambres 32m²,,Camping La Maïre,6 Adultes, 34410 SERIGNAN,,35,camping-la-maire-78521,
,07/08/2023,03/09/2023,10/09/2023,317.20,286.20,MOBILHOME 6 personnes - Loisir+ 6 personnes 3 chambres 32m²,,Camping La Maïre,6 Adultes, 34410 SERIGNAN,,35,camping-la-maire-78521,
,07/08/2023,03/09/2023,10/09/2023,317.20,286.20,CHALET 6 personnes - Loisir 6 personnes 3 chambres 35m²,,Camping La Maïre,6 Adultes, 34410 SERIGNAN,,35,camping-la-maire-78521,
,07/08/2023,03/09/2023,10/09/2023,317.20,286.20,MOBILHOME 6 personnes - Loisir 6 personnes 3 chambres 30m²,,Camping La Maïre,6 Adultes, 34410 SERIGNAN,,35,camping-la-maire-78521,
,07/08/2023,08/10/2023,15/10/2023,420,219,MOBILHOME 4 personnes - STANDARD,,Flower Camping de l'Olivigne,4 Adultes,"dit ""Les Prés"" ",,40,flower-camping-de-l-olivigne-86821,
,07/08/2023,08/10/2023,15/10/2023,259,259,TENTE TOILE ET BOIS 5 personnes - CAHUTE DES RANDONNEURS sans sanitaires,,Flower Camping de l'Olivigne,5 Adultes,"dit ""Les Prés"" ",,40,flower-camping-de-l-olivigne-86821,
,07/08/2023,08/10/2023,15/10/2023,294,294,TENTE TOILE ET BOIS 4 personnes - FREEFLOWER sans sanitaires,,Flower Camping de l'Olivigne,3 Adultes,"dit ""Les Prés"" ",,40,flower-camping-de-l-olivigne-86821,
,07/08/2023,08/10/2023,15/10/2023,644,429,MOBILHOME 6 personnes - PREMIUM PLUS,,Flower Camping de l'Olivigne,6 Adultes,"dit ""Les Prés"" ",,40,flower-camping-de-l-olivigne-86821,
,07/08/2023,08/10/2023,15/10/2023,609,429,MOBILHOME 6 personnes - Homeflower Premium 35 m²,,Flower Camping de l'Olivigne,6 Adultes,"dit ""Les Prés"" ",,40,flower-camping-de-l-olivigne-86821,
,07/08/2023,08/10/2023,15/10/2023,532,532,MOBILHOME 4 personnes - HOMEFLOWER PREMIUM,,Flower Camping de l'Olivigne,4 Adultes,"dit ""Les Prés"" ",,40,flower-camping-de-l-olivigne-86821,
,07/08/2023,08/10/2023,15/10/2023,1113,1113,"HÉBERGEMENT INSOLITE 4 personnes - L'OLIFOUDRE, avec Jacuzzi et Panier apéro",,Flower Camping de l'Olivigne,4 Adultes,"dit ""Les Prés"" ",,40,flower-camping-de-l-olivigne-86821,
,07/08/2023,08/10/2023,15/10/2023,1113,1113,"HÉBERGEMENT INSOLITE 2 personnes - Foudrenlair 1 chambre (Petit déjeuner, lit/ménage fait, panier apéro) + SPA",,Flower Camping de l'Olivigne,2 Adultes,"dit ""Les Prés"" ",,40,flower-camping-de-l-olivigne-86821,
,07/08/2023,08/10/2023,15/10/2023,1204,1204,MOBILHOME 10 personnes - TRIBU PREMIUM,,Flower Camping de l'Olivigne,10 Adultes,"dit ""Les Prés"" ",,40,flower-camping-de-l-olivigne-86821,
,07/08/2023,23/09/2023,30/09/2023,219,219,BUNGALOW 2 personnes - PLUME - sans sanitaires 12 m²,,Camping de La Gare,2 Adultes, 66760 UR,,38,camping-de-la-gare-79388,
,07/08/2023,23/09/2023,30/09/2023,219,219,BUNGALOW 3 personnes - POLOCHON - sans sanitaires 20 m²,,Camping de La Gare,3 Adultes, 66760 UR,,38,camping-de-la-gare-79388,
,07/08/2023,23/09/2023,30/09/2023,445,445,MOBILHOME 2 personnes - MH1 16 m²,,Camping de La Gare,2 Adultes, 66760 UR,,38,camping-de-la-gare-79388,
,07/08/2023,23/09/2023,30/09/2023,490,490,MOBILHOME 4 personnes - MH2 25 m²,,Camping de La Gare,4 Adultes, 66760 UR,,38,camping-de-la-gare-79388,
,07/08/2023,23/09/2023,30/09/2023,530,530,MOBILHOME 6 personnes - MH2 - avec convertible 27 m²,,Camping de La Gare,6 Adultes, 66760 UR,,38,camping-de-la-gare-79388,
,07/08/2023,23/09/2023,30/09/2023,570,570,MOBILHOME 6 personnes - MH2 avec convertible 27 m²,,Camping de La Gare,4 Adultes, 66760 UR,,38,camping-de-la-gare-79388,
,07/08/2023,02/09/2023,09/09/2023,140,140,"EMPLACEMENT - Forfait Confort (1 tente, caravane ou camping-car / 1 voiture / électricité 8A)",,Camping Flower Altea,, 34110 VIC LA GARDIOLE,,35,camping-flower-altea-78746,
,07/08/2023,02/09/2023,09/09/2023,315,315,"EMPLACEMENT - Forfait Freecamp (1 tente, caravane ou camping-car / 1 voiture / électricité 8A avec cuisine et sanitaires individuels)",,Camping Flower Altea,, 34110 VIC LA GARDIOLE,,35,camping-flower-altea-78746,
,07/08/2023,02/09/2023,09/09/2023,504,504,CHALET 4 personnes - ECO STANDARD,,Camping Flower Altea,4 Adultes, 34110 VIC LA GARDIOLE,,35,camping-flower-altea-78746,
,07/08/2023,02/09/2023,09/09/2023,616,616,MOBILHOME 4 personnes - CONFORT + clim,,Camping Flower Altea,4 Adultes, 34110 VIC LA GARDIOLE,,35,camping-flower-altea-78746,
,07/08/2023,02/09/2023,09/09/2023,616,616,MOBILHOME 2 personnes - COTTAGE PREMIUM 20m²,,Camping Flower Altea,2 Adultes, 34110 VIC LA GARDIOLE,,35,camping-flower-altea-78746,
,07/08/2023,02/09/2023,09/09/2023,665,665,"MOBILHOME 6 personnes - CONFORT, 3 chambres",,Camping Flower Altea,6 Adultes, 34110 VIC LA GARDIOLE,,35,camping-flower-altea-78746,
,07/08/2023,02/09/2023,09/09/2023,700,700,"MOBILHOME 6 personnes - CONFORT+, 3 chambres",,Camping Flower Altea,6 Adultes, 34110 VIC LA GARDIOLE,,35,camping-flower-altea-78746,
,07/08/2023,16/09/2023,23/09/2023,449,249,MOBILHOME 6 personnes - SANTORIN EVASION,,Camping Paradis - Naia Village,4 Adultes, 66420 LE BARCARES,,37,camping-paradis-naia-village-76624,
,07/08/2023,21/10/2023,28/10/2023,69.30,69.30,EMPLACEMENT - Forfait standard sans électricité,,Camping Maureillas,, 66480 Maureillas,,42,camping-maureillas-77780,
,07/08/2023,21/10/2023,28/10/2023,102.90,102.90,EMPLACEMENT - Forfait standard avec électricité,,Camping Maureillas,, 66480 Maureillas,,42,camping-maureillas-77780,
