web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,n_offre,nom,Nb personnes,localite,date_debut-jour,Nb semaines,cle_station,nom_station
,07/08/2023,17/09/2023,24/09/2023,280,280,MOBILHOME 2 personnes - Mini,,Camping Alpes Dauphine,2 Adultes, 05000 GAP,,37,camping-alpes-dauphine-81517,
,07/08/2023,17/09/2023,24/09/2023,334,334,CHALET 6 personnes - Havitat,,Camping Alpes Dauphine,6 Adultes, 05000 GAP,,37,camping-alpes-dauphine-81517,
,07/08/2023,17/09/2023,24/09/2023,336,336,MOBILHOME 4 personnes - Standard,,Camping Alpes Dauphine,4 Adultes, 05000 GAP,,37,camping-alpes-dauphine-81517,
,07/08/2023,17/09/2023,24/09/2023,350,350,MOBILHOME 4 personnes - Vénus 2 chambres,,Camping Alpes Dauphine,4 Adultes, 05000 GAP,,37,camping-alpes-dauphine-81517,
,07/08/2023,17/09/2023,24/09/2023,364,364,CHALET 6 personnes - Alizé,,Camping Alpes Dauphine,6 Adultes, 05000 GAP,,37,camping-alpes-dauphine-81517,
,07/08/2023,17/09/2023,24/09/2023,392,392,MOBILHOME 5 personnes - Lodge Premium,,Camping Alpes Dauphine,5 Adultes, 05000 GAP,,37,camping-alpes-dauphine-81517,
,07/08/2023,02/09/2023,09/09/2023,360,288,GÎTE 4 personnes - Collectif 12m² 4 pers.,,Camping de Puyloubier-Aquadis Loisirs,4 Adultes, 13114 PUYLOUBIER,,35,camping-de-puyloubier-aquadis-loisirs-96365,
,07/08/2023,02/09/2023,09/09/2023,460,368,GÎTE 6 personnes - Collectif 17m² 6 pers.,,Camping de Puyloubier-Aquadis Loisirs,6 Adultes, 13114 PUYLOUBIER,,35,camping-de-puyloubier-aquadis-loisirs-96365,
,07/08/2023,02/09/2023,09/09/2023,599,479.20,MOBILHOME 6 personnes - IRM 4/6 pers,,Camping de Puyloubier-Aquadis Loisirs,6 Adultes, 13114 PUYLOUBIER,,35,camping-de-puyloubier-aquadis-loisirs-96365,
,07/08/2023,21/10/2023,28/10/2023,254,254,EMPLACEMENT - Grand Confort,,Domaine De La Bergerie,, Quartier Du Fournel ,,42,domaine-de-la-bergerie-80097,
,07/08/2023,21/10/2023,28/10/2023,400.50,400.50,EMPLACEMENT - Premium + sanitaire privé,,Domaine De La Bergerie,, Quartier Du Fournel ,,42,domaine-de-la-bergerie-80097,
,07/08/2023,21/10/2023,28/10/2023,685.50,685.50,MOBILHOME 4 personnes - Cottage Espace B + Clim,,Domaine De La Bergerie,4 Adultes, Quartier Du Fournel ,,42,domaine-de-la-bergerie-80097,
,07/08/2023,21/10/2023,28/10/2023,693,693,MOBILHOME 4 personnes - Cottage A Clim,,Domaine De La Bergerie,4 Adultes, Quartier Du Fournel ,,42,domaine-de-la-bergerie-80097,
,07/08/2023,21/10/2023,28/10/2023,793,793,MOBILHOME 4 personnes - Privilège A,,Domaine De La Bergerie,4 Adultes, Quartier Du Fournel ,,42,domaine-de-la-bergerie-80097,
,07/08/2023,21/10/2023,28/10/2023,824,824,MOBILHOME 6 personnes - Privilège B - 3 chambres,,Domaine De La Bergerie,6 Adultes, Quartier Du Fournel ,,42,domaine-de-la-bergerie-80097,
,07/08/2023,21/10/2023,28/10/2023,831.50,831.50,MOBILHOME 4 personnes - Privilège Espace A,,Domaine De La Bergerie,4 Adultes, Quartier Du Fournel ,,42,domaine-de-la-bergerie-80097,
,07/08/2023,21/10/2023,28/10/2023,870,870,MOBILHOME 6 personnes - Cottage Espace A - 3 chambres - 36/40m²,,Domaine De La Bergerie,6 Adultes, Quartier Du Fournel ,,42,domaine-de-la-bergerie-80097,
,07/08/2023,21/10/2023,28/10/2023,878,878,MOBILHOME 6 personnes - 4/6 Privilège Espace A,,Domaine De La Bergerie,6 Adultes, Quartier Du Fournel ,,42,domaine-de-la-bergerie-80097,
,07/08/2023,21/10/2023,28/10/2023,878,878,MOBILHOME 6 personnes - Privilège A,,Domaine De La Bergerie,6 Adultes, Quartier Du Fournel ,,42,domaine-de-la-bergerie-80097,
,07/08/2023,21/10/2023,28/10/2023,916.50,916.50,MOBILHOME 6 personnes - Privilège Espace B,,Domaine De La Bergerie,6 Adultes, Quartier Du Fournel ,,42,domaine-de-la-bergerie-80097,
,07/08/2023,21/10/2023,28/10/2023,1008.50,1008.50,MOBILHOME 4 personnes - Premium Solarium,,Domaine De La Bergerie,4 Adultes, Quartier Du Fournel ,,42,domaine-de-la-bergerie-80097,
,07/08/2023,21/10/2023,28/10/2023,1124,1124,MOBILHOME 6 personnes - Premium,,Domaine De La Bergerie,6 Adultes, Quartier Du Fournel ,,42,domaine-de-la-bergerie-80097,
,07/08/2023,21/10/2023,28/10/2023,1232,1232,MOBILHOME 7 personnes - 6/7 Premium,,Domaine De La Bergerie,7 Adultes, Quartier Du Fournel ,,42,domaine-de-la-bergerie-80097,
,07/08/2023,21/10/2023,28/10/2023,1286,1286,MOBILHOME 6 personnes - Premium Spa - 2 chambres - 35m²,,Domaine De La Bergerie,6 Adultes, Quartier Du Fournel ,,42,domaine-de-la-bergerie-80097,
,07/08/2023,21/10/2023,28/10/2023,1424.50,1424.50,MOBILHOME 6 personnes - Premium Spa - 3 chambres - 40m²,,Domaine De La Bergerie,6 Adultes, Quartier Du Fournel ,,42,domaine-de-la-bergerie-80097,
