web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,n_offre,nom,Nb personnes,localite,date_debut-jour,Nb semaines,cle_station,nom_station
,07/08/2023,19/08/2023,26/08/2023,147,147,EMPLACEMENT - Voiture + Camping-Car,,Camping Les Bains,, 58360 SAINT HONORE LES BAINS,,33,camping-les-bains-78304,
,07/08/2023,19/08/2023,26/08/2023,703,703,MOBILHOME 4 personnes - SUPER VENUS,,Camping Les Bains,4 Adultes, 58360 SAINT HONORE LES BAINS,,33,camping-les-bains-78304,
,07/08/2023,23/09/2023,30/09/2023,217,217,TENTE TOILE ET BOIS 4 personnes - Robinson (sans sanitaires),,Camping les Chelles,4 Adultes, 63880 OLLIERGUES,,38,camping-les-chelles-77900,
,07/08/2023,23/09/2023,30/09/2023,242,242,"MOBILHOME 4 personnes - 2 chambres M45, M60, M61, M62",,Camping les Chelles,4 Adultes, 63880 OLLIERGUES,,38,camping-les-chelles-77900,
,07/08/2023,23/09/2023,30/09/2023,252,252,CHALET 7 personnes - 2 chambres,,Camping les Chelles,5 Adultes, 63880 OLLIERGUES,,38,camping-les-chelles-77900,
,07/08/2023,23/09/2023,30/09/2023,290.50,290.50,MOBILHOME 5 personnes - 2 chambres - M63,,Camping les Chelles,4 Adultes, 63880 OLLIERGUES,,38,camping-les-chelles-77900,
,07/08/2023,23/09/2023,30/09/2023,298,298,CHALET 7 personnes - Luxe 2 chambres,,Camping les Chelles,5 Adultes, 63880 OLLIERGUES,,38,camping-les-chelles-77900,
,07/08/2023,23/09/2023,30/09/2023,298,298,"MOBILHOME 6 personnes - 3 chambres - M41, M44",,Camping les Chelles,6 Adultes, 63880 OLLIERGUES,,38,camping-les-chelles-77900,
,07/08/2023,23/09/2023,30/09/2023,333,333,CHALET 8 personnes - Luxe 3 chambres,,Camping les Chelles,6 Adultes, 63880 OLLIERGUES,,38,camping-les-chelles-77900,
,07/08/2023,23/09/2023,30/09/2023,350,350,MOBILHOME 8 personnes - 4 chambres,,Camping les Chelles,8 Adultes, 63880 OLLIERGUES,,38,camping-les-chelles-77900,
,07/08/2023,07/10/2023,14/10/2023,140,140,EMPLACEMENT - sans elec,,Camping Paradis Biper Gorri,, 64250 ESPELETTE,,40,camping-paradis-biper-gorri-77238,
,07/08/2023,07/10/2023,14/10/2023,140,140,EMPLACEMENT - Standard,,Camping Paradis Biper Gorri,, 64250 ESPELETTE,,40,camping-paradis-biper-gorri-77238,
,07/08/2023,07/10/2023,14/10/2023,249,169,MOBILHOME 4 personnes - OPHEA 504 - 1 chambres,,Camping Paradis Biper Gorri,2 Adultes, 64250 ESPELETTE,,40,camping-paradis-biper-gorri-77238,
,07/08/2023,07/10/2023,14/10/2023,269,179,MOBILHOME 5 personnes - OPHEA 734,,Camping Paradis Biper Gorri,4 Adultes, 64250 ESPELETTE,,40,camping-paradis-biper-gorri-77238,
,07/08/2023,07/10/2023,14/10/2023,279,189,MOBILHOME 5 personnes - O'phea 834,,Camping Paradis Biper Gorri,5 Adultes, 64250 ESPELETTE,,40,camping-paradis-biper-gorri-77238,
,07/08/2023,07/10/2023,14/10/2023,279,189,CHALET 5 personnes - Club,,Camping Paradis Biper Gorri,5 Adultes, 64250 ESPELETTE,,40,camping-paradis-biper-gorri-77238,
