web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,n_offre,nom,Nb personnes,localite,date_debut-jour,Nb semaines,cle_station,nom_station
,07/08/2023,27/08/2023,03/09/2023,119,119,"EMPLACEMENT - Forfait tente - véhicule, tente sans électricité 2/6 pers",,Camping Kanopée Village,, 01600 TREVOUX,,34,camping-kanopee-village-78660,
,07/08/2023,27/08/2023,03/09/2023,157.50,157.50,"EMPLACEMENT - Forfait Confort tente, caravane + véhicule ou camping-car avec électricité 2/6 pers",,Camping Kanopée Village,, 01600 TREVOUX,,34,camping-kanopee-village-78660,
,07/08/2023,27/08/2023,03/09/2023,510,510,MOBILHOME 8 personnes - Mobilhome 8 personnes,,Camping Kanopée Village,6 Adultes, 01600 TREVOUX,,34,camping-kanopee-village-78660,
,07/08/2023,16/12/2023,23/12/2023,693,693,MOBILHOME 4 personnes - MH2 31 m²,,Camping Les Fougères,4 Adultes, 17940 RIVEDOUX PLAGE,,50,camping-les-fougeres-78128,
,07/08/2023,16/12/2023,23/12/2023,763,763,MOBILHOME 6 personnes - MH3 31 m²,,Camping Les Fougères,6 Adultes, 17940 RIVEDOUX PLAGE,,50,camping-les-fougeres-78128,
,07/08/2023,26/11/2023,03/12/2023,389.97,389.97,MOBILHOME 4 personnes - Confort 4 personnes,,Family's Camping Le Savoy,4 Adultes, 73190 CHALLES LES EAUX,,47,family-s-camping-le-savoy-82572,
,07/08/2023,26/11/2023,03/12/2023,389.97,389.97,MOBILHOME 4 personnes - CONFORT SAM/SAM,,Family's Camping Le Savoy,4 Adultes, 73190 CHALLES LES EAUX,,47,family-s-camping-le-savoy-82572,
,07/08/2023,26/11/2023,03/12/2023,395,395,MOBILHOME 3 personnes - HOTELIER,,Family's Camping Le Savoy,2 Adultes, 73190 CHALLES LES EAUX,,47,family-s-camping-le-savoy-82572,
,07/08/2023,26/11/2023,03/12/2023,409.99,409.99,MOBILHOME 6 personnes - CONDORT 6 pers,,Family's Camping Le Savoy,6 Adultes, 73190 CHALLES LES EAUX,,47,family-s-camping-le-savoy-82572,
,07/08/2023,26/11/2023,03/12/2023,420,420,MOBILHOME 6 personnes - Confort,,Family's Camping Le Savoy,4 Adultes, 73190 CHALLES LES EAUX,,47,family-s-camping-le-savoy-82572,
,07/08/2023,26/11/2023,03/12/2023,420,420,MOBILHOME 6 personnes - Confort DIM/DIM,,Family's Camping Le Savoy,4 Adultes, 73190 CHALLES LES EAUX,,47,family-s-camping-le-savoy-82572,
,07/08/2023,26/11/2023,03/12/2023,455,455,MOBILHOME 8 personnes - Confort,,Family's Camping Le Savoy,6 Adultes, 73190 CHALLES LES EAUX,,47,family-s-camping-le-savoy-82572,
,07/08/2023,25/11/2023,02/12/2023,230,230,MOBILHOME 4 personnes - Mobilhome 4 personnes,,Camping La Motte,4 Adultes, 17270 LE FOUILLOUX,,47,camping-la-motte-82266,
,07/08/2023,25/11/2023,02/12/2023,365,365,CHALET 4 personnes - Vigneron,,Camping La Motte,4 Adultes, 17270 LE FOUILLOUX,,47,camping-la-motte-82266,
,07/08/2023,10/09/2023,17/09/2023,132,132,EMPLACEMENT,,Camping Paradis FAMILY DES ISSOUX D'ARDECHE ****,, 07380 LALEVADE D'ARDECHE,,36,camping-paradis-family-des-issoux-d-ardeche-77871,
,07/08/2023,02/09/2023,09/09/2023,328,164,"BUNGALOW TOILÉ 4 personnes - Lodge Eco, sans sanitaires",,Camping Le Grand Cerf,4 Adultes, 26530 LE GRAND SERRE,,35,camping-le-grand-cerf-77528,
,07/08/2023,02/09/2023,09/09/2023,366,183,"BUNGALOW TOILÉ 5 personnes - Lodge Eco, sans sanitaires",,Camping Le Grand Cerf,5 Adultes, 26530 LE GRAND SERRE,,35,camping-le-grand-cerf-77528,
,07/08/2023,02/09/2023,09/09/2023,673,336.50,"MOBILHOME 6 personnes - Confort 6p (35m²) avec terrasse couverte, climatisé",,Camping Le Grand Cerf,6 Adultes, 26530 LE GRAND SERRE,,35,camping-le-grand-cerf-77528,
,07/08/2023,17/09/2023,24/09/2023,595,595,MOBILHOME 2 personnes - MH1 17 m²,,Camping Les Fougères,2 Adultes, 17940 RIVEDOUX PLAGE,,37,camping-les-fougeres-78128,
,07/08/2023,17/09/2023,24/09/2023,665,665,MOBILHOME 4 personnes - MH2 24 m²,,Camping Les Fougères,4 Adultes, 17940 RIVEDOUX PLAGE,,37,camping-les-fougeres-78128,
,07/08/2023,17/09/2023,24/09/2023,693,693,MOBILHOME 4 personnes - MH2 31 m²,,Camping Les Fougères,4 Adultes, 17940 RIVEDOUX PLAGE,,37,camping-les-fougeres-78128,
