web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,n_offre,nom,Nb personnes,localite,date_debut-jour,Nb semaines,cle_station,nom_station
,28/08/2023,11/11/2023,18/11/2023,350,350,MOBILHOME 4 personnes - Economique,,Camping Domaine de Gatinié,4 Adultes, 34600 LES AIRES,,45,camping-domaine-de-gatinie-80282,
,28/08/2023,11/11/2023,18/11/2023,370,370,MOBILHOME 4 personnes - Confort,,Camping Domaine de Gatinié,4 Adultes, 34600 LES AIRES,,45,camping-domaine-de-gatinie-80282,
,28/08/2023,11/11/2023,18/11/2023,490,490,MOBILHOME 6 personnes - Confort +,,Camping Domaine de Gatinié,5 Adultes, 34600 LES AIRES,,45,camping-domaine-de-gatinie-80282,
,28/08/2023,30/09/2023,07/10/2023,287,243.95,MOBILHOME 4 personnes - Classic,,Camping Marina d'Erba Rossa,4 Adultes, 20240 GHISONACCIA,,39,camping-marina-derba-rossa-77849,
,28/08/2023,30/09/2023,07/10/2023,301,255.85,MOBILHOME 6 personnes - Classic 4/6 places,,Camping Marina d'Erba Rossa,4 Adultes, 20240 GHISONACCIA,,39,camping-marina-derba-rossa-77849,
,28/08/2023,30/09/2023,07/10/2023,329,279.65,CHALET 5 personnes - 4/5 places,,Camping Marina d'Erba Rossa,4 Adultes, 20240 GHISONACCIA,,39,camping-marina-derba-rossa-77849,
,28/08/2023,30/09/2023,07/10/2023,357,303.45,MOBILHOME 6 personnes - Classic XL,,Camping Marina d'Erba Rossa,6 Adultes, 20240 GHISONACCIA,,39,camping-marina-derba-rossa-77849,
,28/08/2023,17/09/2023,24/09/2023,399,399,TENTE TOILE ET BOIS 4 personnes - Tente lodge 4 pers. 2 ch.,,Camping Sunelia - Ranc Davaine,4 Adultes, 07120 SAINT ALBAN AURIOLLES,,37,camping-sunelia-ranc-davaine-81252,
,28/08/2023,17/09/2023,24/09/2023,525,525,MOBILHOME 4 personnes - Sunêlia Confort Moon 4 pers. 2 ch.,,Camping Sunelia - Ranc Davaine,4 Adultes, 07120 SAINT ALBAN AURIOLLES,,37,camping-sunelia-ranc-davaine-81252,
,28/08/2023,17/09/2023,24/09/2023,539,539,MOBILHOME 6 personnes - Sunêlia Confort 4/6 pers. 2 ch.,,Camping Sunelia - Ranc Davaine,6 Adultes, 07120 SAINT ALBAN AURIOLLES,,37,camping-sunelia-ranc-davaine-81252,
,28/08/2023,17/09/2023,24/09/2023,560,560,MOBILHOME 6 personnes - Sunêlia Confort Natura 4/6 pers. 2 ch.,,Camping Sunelia - Ranc Davaine,6 Adultes, 07120 SAINT ALBAN AURIOLLES,,37,camping-sunelia-ranc-davaine-81252,
,28/08/2023,17/09/2023,24/09/2023,595,595,MOBILHOME 6 personnes - Sunêlia Confort 6 pers. 3 ch.,,Camping Sunelia - Ranc Davaine,6 Adultes, 07120 SAINT ALBAN AURIOLLES,,37,camping-sunelia-ranc-davaine-81252,
,28/08/2023,17/09/2023,24/09/2023,658,658,MOBILHOME 6 personnes - Sunêlia Prestige 4/6 pers. 2 ch.,,Camping Sunelia - Ranc Davaine,6 Adultes, 07120 SAINT ALBAN AURIOLLES,,37,camping-sunelia-ranc-davaine-81252,
,28/08/2023,17/09/2023,24/09/2023,728,728,MOBILHOME 6 personnes - Cottage prestige 6 pers. 3 ch.,,Camping Sunelia - Ranc Davaine,6 Adultes, 07120 SAINT ALBAN AURIOLLES,,37,camping-sunelia-ranc-davaine-81252,
,28/08/2023,17/09/2023,24/09/2023,756,756,MOBILHOME 6 personnes - Sunêlia Prestige 6 pers. 3 ch.,,Camping Sunelia - Ranc Davaine,6 Adultes, 07120 SAINT ALBAN AURIOLLES,,37,camping-sunelia-ranc-davaine-81252,
,28/08/2023,17/09/2023,24/09/2023,861,861,MOBILHOME 4 personnes - Sunêlia Prestige Premium 4 pers. 2 ch.,,Camping Sunelia - Ranc Davaine,4 Adultes, 07120 SAINT ALBAN AURIOLLES,,37,camping-sunelia-ranc-davaine-81252,
,28/08/2023,17/09/2023,24/09/2023,931,931,MOBILHOME 6 personnes - Sunêlia Prestige Premium 6 pers. - 3 ch.,,Camping Sunelia - Ranc Davaine,6 Adultes, 07120 SAINT ALBAN AURIOLLES,,37,camping-sunelia-ranc-davaine-81252,
,28/08/2023,24/09/2023,01/10/2023,459,459,MOBILHOME 6 personnes - Mobilhome 6 personnes,,Camping Tikiti,6 Adultes, 20110 PROPRIANO,,38,camping-tikiti-78088,
,28/08/2023,02/09/2023,09/09/2023,390,390,BUNGALOW 5 personnes - Club 5 Olive,,Camping Marina di Sorbo,5 Adultes, 20213 SORBO OCAGNANO,,35,camping-marina-di-sorbo-78560,
,28/08/2023,23/09/2023,30/09/2023,430,430,MOBILHOME 6 personnes - MH2 25 m²,,Camping du Lac de Devesset,4 Adultes, 07320 DEVESSET,,38,camping-du-lac-de-devesset-77173,
,28/08/2023,23/09/2023,30/09/2023,480,480,CHALET 6 personnes - CH2 35 m²,,Camping du Lac de Devesset,6 Adultes, 07320 DEVESSET,,38,camping-du-lac-de-devesset-77173,
,28/08/2023,23/09/2023,30/09/2023,525,525,MOBILHOME 8 personnes - MH2 30 m²,,Camping du Lac de Devesset,4 Adultes, 07320 DEVESSET,,38,camping-du-lac-de-devesset-77173,
,28/08/2023,03/09/2023,10/09/2023,329,282,TENTE TOILE ET BOIS 4 personnes - Tente lodge 4 pers. 2 ch.,,Camping Aluna Vacances,4 Adultes, 07120 RUOMS,,35,camping-aluna-vacances-81309,
,28/08/2023,03/09/2023,10/09/2023,455,390,MOBILHOME 4 personnes - Sunêlia Confort Moon 4 pers. 2 ch,,Camping Aluna Vacances,4 Adultes, 07120 RUOMS,,35,camping-aluna-vacances-81309,
,28/08/2023,03/09/2023,10/09/2023,469,402,MOBILHOME 6 personnes - Sunêlia Confort 4/6 pers. 2 ch.,,Camping Aluna Vacances,6 Adultes, 07120 RUOMS,,35,camping-aluna-vacances-81309,
,28/08/2023,03/09/2023,10/09/2023,483,414,MOBILHOME 6 personnes - Sunêlia Confort Natura 4/6 2 ch. sans TV,,Camping Aluna Vacances,6 Adultes, 07120 RUOMS,,35,camping-aluna-vacances-81309,
,28/08/2023,03/09/2023,10/09/2023,525,450,MOBILHOME 6 personnes - Sunêlia Confort 6 pers. 3 ch.,,Camping Aluna Vacances,6 Adultes, 07120 RUOMS,,35,camping-aluna-vacances-81309,
,28/08/2023,03/09/2023,10/09/2023,595,510,MOBILHOME 6 personnes - Sunêlia Prestige 4/6 pers. 2 ch,,Camping Aluna Vacances,6 Adultes, 07120 RUOMS,,35,camping-aluna-vacances-81309,
,28/08/2023,03/09/2023,10/09/2023,630,540,MOBILHOME 6 personnes - Sunêlia Prestige 6 pers. 3 ch.,,Camping Aluna Vacances,6 Adultes, 07120 RUOMS,,35,camping-aluna-vacances-81309,
,28/08/2023,03/09/2023,10/09/2023,868,744,MOBILHOME 4 personnes - Sunêlia Prestige Key West 4 pers. 2 ch.,,Camping Aluna Vacances,4 Adultes, 07120 RUOMS,,35,camping-aluna-vacances-81309,
,28/08/2023,16/03/2024,23/03/2024,290,290,MOBILHOME 4 personnes - Mobilhome 4 personnes,,,4 Adultes, 49390 VERNANTES,,11,camping-de-la-grande-pature-84096,
,28/08/2023,24/09/2023,01/10/2023,403.85,286.73,MOBILHOME 5 personnes - Mercure 3 Pièces 4/5 Personnes,,Camping U Casone,5 Adultes, 20240 GHISONACCIA,,38,camping-u-casone-79237,
,28/08/2023,24/09/2023,01/10/2023,436.38,309.83,TENTE 5 personnes - Luxury Lodge 3 Pièces 4/5 Personnes,,Camping U Casone,5 Adultes, 20240 GHISONACCIA,,38,camping-u-casone-79237,
,28/08/2023,24/09/2023,01/10/2023,357,357,TENTE 4 personnes - Equipée,,Camping U Casone,4 Adultes, 20240 GHISONACCIA,,38,camping-u-casone-79237,
,28/08/2023,24/09/2023,01/10/2023,364,364,MOBILHOME 4 personnes - Mobilhome 4 personnes,,Camping U Casone,2 Adultes, 20240 GHISONACCIA,,38,camping-u-casone-79237,
