web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,n_offre,nom,Nb personnes,localite,date_debut-jour,Nb semaines,cle_station,nom_station
,28/08/2023,18/11/2023,25/11/2023,219,219,MOBILHOME 6 personnes - PERLE,,Camping Paradis - Naia Village,4 Adultes, 66420 LE BARCARES,,46,camping-paradis-naia-village-76624,
,28/08/2023,18/11/2023,25/11/2023,219,219,MOBILHOME 6 personnes - AKOYA,,Camping Paradis - Naia Village,4 Adultes, 66420 LE BARCARES,,46,camping-paradis-naia-village-76624,
,28/08/2023,18/11/2023,25/11/2023,245,245,MOBILHOME 6 personnes - HIBISCUS,,Camping Paradis - Naia Village,4 Adultes, 66420 LE BARCARES,,46,camping-paradis-naia-village-76624,
,28/08/2023,18/11/2023,25/11/2023,245,245,MOBILHOME 6 personnes - Mobil Home MAGNOLIA Samedi,,Camping Paradis - Naia Village,6 Adultes, 66420 LE BARCARES,,46,camping-paradis-naia-village-76624,
,28/08/2023,18/11/2023,25/11/2023,271,271,MOBILHOME 6 personnes - OHANA,,Camping Paradis - Naia Village,4 Adultes, 66420 LE BARCARES,,46,camping-paradis-naia-village-76624,
,28/08/2023,18/11/2023,25/11/2023,295,295,MOBILHOME 6 personnes - NEPTUNE,,Camping Paradis - Naia Village,4 Adultes, 66420 LE BARCARES,,46,camping-paradis-naia-village-76624,
,28/08/2023,18/11/2023,25/11/2023,295,295,MOBILHOME 6 personnes - TANGAROA,,Camping Paradis - Naia Village,2 Adultes, 66420 LE BARCARES,,46,camping-paradis-naia-village-76624,
,28/08/2023,18/11/2023,25/11/2023,295,295,MOBILHOME 6 personnes - SANTORIN EVASION,,Camping Paradis - Naia Village,4 Adultes, 66420 LE BARCARES,,46,camping-paradis-naia-village-76624,
,28/08/2023,16/09/2023,23/09/2023,196,196,EMPLACEMENT - Emplacement,,Camping Abri de Camargue,, 30240 LE GRAU DU ROI,,37,camping-abri-de-camargue-77579,
,28/08/2023,16/09/2023,23/09/2023,413,413,MOBILHOME 6 personnes - Méditérranéen,,Camping Abri de Camargue,4 Adultes, 30240 LE GRAU DU ROI,,37,camping-abri-de-camargue-77579,
,28/08/2023,16/09/2023,23/09/2023,385,385,CHALET 2 personnes - La cabane du pécheur,,Camping Sites et Paysages - Innature,2 Adultes, 11190 ARQUES,,37,camping-sites-et-paysages-innature-89352,
,28/08/2023,16/09/2023,23/09/2023,525,525,MOBILHOME 4 personnes - 2 chambres,,Camping Sites et Paysages - Innature,4 Adultes, 11190 ARQUES,,37,camping-sites-et-paysages-innature-89352,
,28/08/2023,16/09/2023,23/09/2023,665,665,MOBILHOME 6 personnes - 3 chambres,,Camping Sites et Paysages - Innature,6 Adultes, 11190 ARQUES,,37,camping-sites-et-paysages-innature-89352,
,28/08/2023,16/09/2023,23/09/2023,770,770,VILLA 6 personnes - avec spa privatif,,Camping Sites et Paysages - Innature,6 Adultes, 11190 ARQUES,,37,camping-sites-et-paysages-innature-89352,
,28/08/2023,30/09/2023,07/10/2023,518,518,BUNGALOW 5 personnes - CLASSIQUE TERRASSE - 2P5QT,,Club Belambra La Presqu'Ile du Ponant,4 Adultes,Louis ,,39,club-belambra-la-presqu-ile-du-ponant-89723,
,28/08/2023,30/09/2023,07/10/2023,595,595,BUNGALOW 5 personnes - CLASSIQUE TERRASSE MER - 2P5QTM,,Club Belambra La Presqu'Ile du Ponant,4 Adultes,Louis ,,39,club-belambra-la-presqu-ile-du-ponant-89723,
,28/08/2023,10/09/2023,17/09/2023,348,348,MOBILHOME 4 personnes - Cocoon+ 4 personne 2 chambres 24m²,,Camping Le Beauséjour,4 Adultes, 66700 ARGELES,,36,camping-le-beausejour-79458,
