web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,nom,Nb Personnes,localite,n_offres,date_debut-jour,Nb semaines,cle_station,nom_station
,27/03/2023,05/08/2023,12/08/2023,875,756,MOBILHOME 6 personnes - Cosy 3 chambres Climatisé (I63C),Camping L'Europe,6 Adultes, 34110 VIC LA GARDIOLE,,,31,camping-l-europe-76683,
,27/03/2023,05/08/2023,12/08/2023,375,189,MOBILHOME 6 personnes - 2 chambres,Camping Le Clos Virgile,4 Adultes, 34410 SERIGNAN,,,31,camping-le-clos-virgile-78527,
,27/03/2023,05/08/2023,12/08/2023,476,199,MOBILHOME 6 personnes - 3 chambres,Camping Le Clos Virgile,6 Adultes, 34410 SERIGNAN,,,31,camping-le-clos-virgile-78527,
,27/03/2023,05/08/2023,12/08/2023,139,139,MOBILHOME 6 personnes - 2 chambres 4/6 places,Camping Le Clos Virgile,6 Adultes, 34410 SERIGNAN,,,31,camping-le-clos-virgile-78527,
,27/03/2023,05/08/2023,12/08/2023,149,149,MOBILHOME 6 personnes - 3 Chambres,Camping Le Clos Virgile,6 Adultes, 34410 SERIGNAN,,,31,camping-le-clos-virgile-78527,
,27/03/2023,05/08/2023,12/08/2023,149,149,MOBILHOME 6 personnes - 3 chambres,Camping Le Clos Virgile,6 Adultes, 34410 SERIGNAN,,,31,camping-le-clos-virgile-78527,
,27/03/2023,05/08/2023,12/08/2023,239,239,MOBILHOME 6 personnes - 2 chambres 4/6 places,Camping Le Clos Virgile,6 Adultes, 34410 SERIGNAN,,,31,camping-le-clos-virgile-78527,
,27/03/2023,05/08/2023,12/08/2023,395.81,245.40,MOBILHOME 6 personnes - Evasion 3 Pièces 4/6 Personnes + TV,Camping Le Clos Virgile,4 Adultes, 34410 SERIGNAN,,,31,camping-le-clos-virgile-78527,
,27/03/2023,05/08/2023,12/08/2023,415.16,257.40,MOBILHOME 6 personnes - Loisir 4 Pièces 6 Personnes + TV,Camping Le Clos Virgile,6 Adultes, 34410 SERIGNAN,,,31,camping-le-clos-virgile-78527,
,27/03/2023,05/08/2023,12/08/2023,323.20,259.20,MOBILHOME 4 personnes - Cocoon 4 personnes 2 chambres 23m²,Camping Le Clos Virgile,4 Adultes, 34410 SERIGNAN,,,31,camping-le-clos-virgile-78527,
,27/03/2023,05/08/2023,12/08/2023,323.20,259.20,MOBILHOME 4 personnes - Cocoon 4 personnes 2 chambres 23m²,Camping Le Clos Virgile,4 Adultes, 34410 SERIGNAN,,,31,camping-le-clos-virgile-78527,
,27/03/2023,05/08/2023,12/08/2023,323.20,259.20,MOBILHOME 4 personnes - Cocoon 4 personnes 2 chambres 23m²,Camping Le Clos Virgile,4 Adultes, 34410 SERIGNAN,,,31,camping-le-clos-virgile-78527,
