web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,nom,Nb Personnes,localite,n_offres,date_debut-jour,Nb semaines,cle_station,nom_station
,27/03/2023,02/09/2023,09/09/2023,579,579,MOBILHOME 4 personnes,Camping Les Salisses,2 Adultes, 34450 VIAS,,,35,camping-les-salisses-76793,
,27/03/2023,02/09/2023,09/09/2023,579,579,MOBILHOME 6 personnes,Camping Les Salisses,4 Adultes, 34450 VIAS,,,35,camping-les-salisses-76793,
,27/03/2023,02/09/2023,09/09/2023,629,629,MOBILHOME 8 personnes,Camping Les Salisses,6 Adultes, 34450 VIAS,,,35,camping-les-salisses-76793,
,27/03/2023,02/09/2023,09/09/2023,360,179,MOBILHOME 6 personnes - 3 chambres,Camping Les Amandiers,6 Adultes, 30660 GALLARGUES LE MONTUEUX,,,35,camping-les-amandiers-77289,
,27/03/2023,02/09/2023,09/09/2023,203,203,BUNGALOW 5 personnes - TITHOME - sans sanitaires - sans arrivée d'eau,Camping Les Amandiers,4 Adultes, 30660 GALLARGUES LE MONTUEUX,,,35,camping-les-amandiers-77289,
,27/03/2023,02/09/2023,09/09/2023,337.74,209.40,MOBILHOME 6 personnes - 4 Pièces 6 Personnes,Camping Les Amandiers,6 Adultes, 30660 GALLARGUES LE MONTUEUX,,,35,camping-les-amandiers-77289,
,27/03/2023,02/09/2023,09/09/2023,259,259,HÉBERGEMENT INSOLITE 4 personnes - Coco Sweet 4 places,Camping Les Amandiers,4 Adultes, 30660 GALLARGUES LE MONTUEUX,,,35,camping-les-amandiers-77289,
,27/03/2023,02/09/2023,09/09/2023,294,294,MOBILHOME 6 personnes - 3 Chambres,Camping Les Amandiers,6 Adultes, 30660 GALLARGUES LE MONTUEUX,,,35,camping-les-amandiers-77289,
,27/03/2023,02/09/2023,09/09/2023,210,199,MOBILHOME 6 personnes - 2 chambres - TV,Camping Maïana Resort,6 Adultes, 34280 LA GRANDE MOTTE,,,35,camping-maiana-resort-77457,
,27/03/2023,02/09/2023,09/09/2023,266,199,MOBILHOME 8 personnes - 3 chambres - TV,Camping Maïana Resort,6 Adultes, 34280 LA GRANDE MOTTE,,,35,camping-maiana-resort-77457,
,27/03/2023,02/09/2023,09/09/2023,229,229,MOBILHOME 6 personnes - 2 Chambres,Camping Maïana Resort,4 Adultes, 34280 LA GRANDE MOTTE,,,35,camping-maiana-resort-77457,
,27/03/2023,02/09/2023,09/09/2023,249,249,MOBILHOME 8 personnes - 3 chambres,Camping Maïana Resort,6 Adultes, 34280 LA GRANDE MOTTE,,,35,camping-maiana-resort-77457,
,27/03/2023,02/09/2023,09/09/2023,305,305,MOBILHOME 6 personnes - Cottage 4/6 Places (Clim TV),Camping Maïana Resort,3 Adultes, 34280 LA GRANDE MOTTE,,,35,camping-maiana-resort-77457,
,27/03/2023,02/09/2023,09/09/2023,325,325,MOBILHOME 8 personnes - Cottage 6/8 Places 3 Chambres (Clim TV),Camping Maïana Resort,6 Adultes, 34280 LA GRANDE MOTTE,,,35,camping-maiana-resort-77457,
,27/03/2023,02/09/2023,09/09/2023,450,279,MOBILHOME 6 personnes - EVO 29,Camping Le Pradal,4 Adultes, 30140 ANDUZE,,,35,camping-le-pradal-80808,
,27/03/2023,02/09/2023,09/09/2023,295,295,MOBILHOME 6 personnes - Standard - 2 Chambres 4/6 personnes,Camping Le Roucan West,4 Adultes, 34450 VIAS,,,35,camping-le-roucan-west-78741,
,27/03/2023,02/09/2023,09/09/2023,315,315,MOBILHOME 6 personnes - Standard -3 Chambres 6 pers.,Camping Le Roucan West,6 Adultes, 34450 VIAS,,,35,camping-le-roucan-west-78741,
,27/03/2023,02/09/2023,09/09/2023,420,420,MOBILHOME 6 personnes - MH2 BIEN-ETRE 33 m²,Camping Le Roucan West,4 Adultes, 34450 VIAS,,,35,camping-le-roucan-west-78741,
,27/03/2023,02/09/2023,09/09/2023,450,450,MOBILHOME 6 personnes - MH3 BIEN-ETRE 36 m²,Camping Le Roucan West,6 Adultes, 34450 VIAS,,,35,camping-le-roucan-west-78741,
,27/03/2023,02/09/2023,09/09/2023,480,480,MOBILHOME 8 personnes - MH4 BIEN-ETRE 38 m²,Camping Le Roucan West,6 Adultes, 34450 VIAS,,,35,camping-le-roucan-west-78741,
,27/03/2023,02/09/2023,09/09/2023,99,99,MOBILHOME 6 personnes - 3 chambres,Camping Mer et Camargue,6 Adultes, 30420 CALVISSON,,,35,camping-mer-et-camargue-76986,
,27/03/2023,02/09/2023,09/09/2023,99,99,MOBILHOME 5 personnes - 2 chambres 4/5 places,Camping Mer et Camargue,5 Adultes, 30420 CALVISSON,,,35,camping-mer-et-camargue-76986,
,27/03/2023,02/09/2023,09/09/2023,116,116,MOBILHOME 4 personnes - EDEN,Camping Paradis - Barberousse,4 Adultes, 11430 GRUISSAN,,,35,camping-paradis-barberousse-79788,
,27/03/2023,02/09/2023,09/09/2023,126,126,MOBILHOME 6 personnes - Eden 3 chambres 6,Camping Paradis - Barberousse,6 Adultes, 11430 GRUISSAN,,,35,camping-paradis-barberousse-79788,
,27/03/2023,02/09/2023,09/09/2023,196,196,MOBILHOME 8 personnes - Eden - 4 chambres,Camping Paradis - Barberousse,8 Adultes, 11430 GRUISSAN,,,35,camping-paradis-barberousse-79788,
,27/03/2023,02/09/2023,09/09/2023,420,315,MOBILHOME 4 personnes - FAMILY PREMIUM,Camping Beau Rivage,4 Adultes, 34140 MEZE,,,35,camping-beau-rivage-77811,
,27/03/2023,02/09/2023,09/09/2023,441,330.75,MOBILHOME 4 personnes - LOGGIA PREMIUM,Camping Beau Rivage,4 Adultes, 34140 MEZE,,,35,camping-beau-rivage-77811,
,27/03/2023,02/09/2023,09/09/2023,455,341.25,MOBILHOME 6 personnes - ESPACE CLASSIC,Camping Beau Rivage,6 Adultes, 34140 MEZE,,,35,camping-beau-rivage-77811,
,27/03/2023,02/09/2023,09/09/2023,469,351.75,MOBILHOME 6 personnes - ESPACE PREMIUM,Camping Beau Rivage,6 Adultes, 34140 MEZE,,,35,camping-beau-rivage-77811,
,27/03/2023,02/09/2023,09/09/2023,490,367.50,MOBILHOME 6 personnes - ESPACE PREMIUM + clim TV,Camping Beau Rivage,6 Adultes, 34140 MEZE,,,35,camping-beau-rivage-77811,
,27/03/2023,02/09/2023,09/09/2023,504,378,MOBILHOME 6 personnes - BAY PREMIUM,Camping Beau Rivage,6 Adultes, 34140 MEZE,,,35,camping-beau-rivage-77811,
,27/03/2023,02/09/2023,09/09/2023,525,393.75,MOBILHOME 6 personnes - ESPACE PREMIUM- vue sur le Bassin de Thau,Camping Beau Rivage,6 Adultes, 34140 MEZE,,,35,camping-beau-rivage-77811,
,27/03/2023,02/09/2023,09/09/2023,840,630,MOBILHOME 4 personnes - FAMILY LUXE (draps inclus),Camping Beau Rivage,4 Adultes, 34140 MEZE,,,35,camping-beau-rivage-77811,
,27/03/2023,02/09/2023,09/09/2023,945,708.75,MOBILHOME 4 personnes - FAMILY LUXE (draps inclus),Camping Beau Rivage,4 Adultes, 34140 MEZE,,,35,camping-beau-rivage-77811,
,27/03/2023,02/09/2023,09/09/2023,259,259,MOBILHOME 5 personnes - ESPACE,Camping Le Bosc d'En Roug,5 Adultes, 66750 SAINT CYPRIEN,,,35,camping-le-bosc-den-roug-78217,
,27/03/2023,02/09/2023,09/09/2023,273,273,MOBILHOME 4 personnes - CONFORT PREMIUM,Camping Le Bosc d'En Roug,4 Adultes, 66750 SAINT CYPRIEN,,,35,camping-le-bosc-den-roug-78217,
,27/03/2023,02/09/2023,09/09/2023,308,308,MOBILHOME 5 personnes - ESPACE PREMIUM,Camping Le Bosc d'En Roug,4 Adultes, 66750 SAINT CYPRIEN,,,35,camping-le-bosc-den-roug-78217,
,27/03/2023,02/09/2023,09/09/2023,315,315,MOBILHOME 6 personnes - ESPACE,Camping Le Bosc d'En Roug,6 Adultes, 66750 SAINT CYPRIEN,,,35,camping-le-bosc-den-roug-78217,
,27/03/2023,02/09/2023,09/09/2023,364,364,MOBILHOME 4 personnes - COTTAGE PREMIUM,Camping Le Bosc d'En Roug,4 Adultes, 66750 SAINT CYPRIEN,,,35,camping-le-bosc-den-roug-78217,
,27/03/2023,02/09/2023,09/09/2023,252,252,MOBILHOME 8 personnes - Bien-être 3ch 8p Signature clim,Camping Siblu Mar Estang - Funpass inclus,8 Adultes, 66140 CANET EN ROUSSILLON,,,35,camping-siblu-mar-estang-funpass-inclus-76997,
,27/03/2023,02/09/2023,09/09/2023,252,252,MOBILHOME 6 personnes - Bien-être 2ch 6p Signature clim,Camping Siblu Mar Estang - Funpass inclus,6 Adultes, 66140 CANET EN ROUSSILLON,,,35,camping-siblu-mar-estang-funpass-inclus-76997,
,27/03/2023,02/09/2023,09/09/2023,198.10,179.10,CHALET 6 personnes - 2 Chambres,Camping Eden,6 Adultes,Port Camargue ,,,35,camping-eden-77586,
,27/03/2023,02/09/2023,09/09/2023,238.10,215.10,MOBILHOME 6 personnes - 2 Chambres (Clim ),Camping Eden,6 Adultes,Port Camargue ,,,35,camping-eden-77586,
,27/03/2023,02/09/2023,09/09/2023,259,259,MOBILHOME 6 personnes - 2/3 Chambres (Clim),Camping Eden,6 Adultes,Port Camargue ,,,35,camping-eden-77586,
,27/03/2023,02/09/2023,09/09/2023,279,279,MOBILHOME 6 personnes - 3 Chambres (Clim),Camping Eden,6 Adultes,Port Camargue ,,,35,camping-eden-77586,
,27/03/2023,02/09/2023,09/09/2023,289,289,MOBILHOME 6 personnes - 2 chambres 4/6 places,Camping Eden,6 Adultes,Port Camargue ,,,35,camping-eden-77586,
,27/03/2023,02/09/2023,09/09/2023,357,357,MOBILHOME 6 personnes - 2 Chambres,Camping Eden,6 Adultes,Port Camargue ,,,35,camping-eden-77586,
,27/03/2023,02/09/2023,09/09/2023,109,109,MOBILHOME 2 personnes - PAQUERETTE,Camping Domaine de Gaujac - Camping Paradis,2 Adultes, 30140 BOISSET ET GAUJAC,,,35,camping-domaine-de-gaujac-camping-paradis-76927,
,27/03/2023,02/09/2023,09/09/2023,109,109,MOBILHOME 2 personnes - PAQUERETTE arrivée dimanche,Camping Domaine de Gaujac - Camping Paradis,2 Adultes, 30140 BOISSET ET GAUJAC,,,35,camping-domaine-de-gaujac-camping-paradis-76927,
,27/03/2023,02/09/2023,09/09/2023,109,109,MOBILHOME 2 personnes - PAQUERETTE arrivée mercredi,Camping Domaine de Gaujac - Camping Paradis,2 Adultes, 30140 BOISSET ET GAUJAC,,,35,camping-domaine-de-gaujac-camping-paradis-76927,
,27/03/2023,02/09/2023,09/09/2023,126,126,MOBILHOME 4 personnes - LILAS,Camping Domaine de Gaujac - Camping Paradis,2 Adultes, 30140 BOISSET ET GAUJAC,,,35,camping-domaine-de-gaujac-camping-paradis-76927,
,27/03/2023,02/09/2023,09/09/2023,126,126,MOBILHOME 5 personnes - CROCUS,Camping Domaine de Gaujac - Camping Paradis,2 Adultes, 30140 BOISSET ET GAUJAC,,,35,camping-domaine-de-gaujac-camping-paradis-76927,
,27/03/2023,02/09/2023,09/09/2023,126,126,CHALET 4 personnes - MARGUERITE (sans douche),Camping Domaine de Gaujac - Camping Paradis,2 Adultes, 30140 BOISSET ET GAUJAC,,,35,camping-domaine-de-gaujac-camping-paradis-76927,
,27/03/2023,02/09/2023,09/09/2023,126,126,MOBILHOME 4 personnes - HORTENSIA,Camping Domaine de Gaujac - Camping Paradis,2 Adultes, 30140 BOISSET ET GAUJAC,,,35,camping-domaine-de-gaujac-camping-paradis-76927,
,27/03/2023,02/09/2023,09/09/2023,126,126,BUNGALOW 4 personnes - MARGUERITE Petit 4p arrivée dimanche,Camping Domaine de Gaujac - Camping Paradis,4 Adultes, 30140 BOISSET ET GAUJAC,,,35,camping-domaine-de-gaujac-camping-paradis-76927,
,27/03/2023,02/09/2023,09/09/2023,126,126,MOBILHOME 4 personnes - LILAS MH 4p arrivée dimanche,Camping Domaine de Gaujac - Camping Paradis,4 Adultes, 30140 BOISSET ET GAUJAC,,,35,camping-domaine-de-gaujac-camping-paradis-76927,
,27/03/2023,02/09/2023,09/09/2023,126,126,CHALET 4 personnes - BLEUET Chalet 4/6p arrivée dimanche,Camping Domaine de Gaujac - Camping Paradis,4 Adultes, 30140 BOISSET ET GAUJAC,,,35,camping-domaine-de-gaujac-camping-paradis-76927,
