url,web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,Nb Personnes,n_offre,nom,localite,date_debut-jour,Nb semaines,cle_station,nom_station
https://www.campings.com/fr/camping/camping-le-beausejour-79458#?checkInDate=2023-04-08&night=7,,03/04/2023,08/04/2023,15/04/2023,409,348,MOBILHOME 6 personnes - Confort+ 6 personnes 3 chambres 2 sdb,6 Adultes,,Camping Le Beauséjour,ARGELES,,14,camping-le-beausejour-79458,ARGELÈS-SUR-MER
https://www.campings.com/fr/camping/camping-le-beausejour-79458#?checkInDate=2023-04-08&night=7,,03/04/2023,08/04/2023,15/04/2023,409,348,MOBILHOME 6 personnes - Confort+ 6 personnes 3 chambres 2 sdb,6 Adultes,,Camping Le Beauséjour,ARGELES,,14,camping-le-beausejour-79458,ARGELÈS-SUR-MER
https://www.campings.com/fr/camping/camping-le-beausejour-79458#?checkInDate=2023-04-08&night=7,,03/04/2023,08/04/2023,15/04/2023,409,348,MOBILHOME 6 personnes - Confort+ 6 personnes 3 chambres 2 sdb,6 Adultes,,Camping Le Beauséjour,ARGELES,,14,camping-le-beausejour-79458,ARGELÈS-SUR-MER
https://www.campings.com/fr/camping/camping-au-flamenco-76756#?checkInDate=2023-04-08&night=7,,03/04/2023,08/04/2023,15/04/2023,360,360,MOBILHOME 6 personnes - Family,6 Adultes,,Camping Au Flamenco,ARGELES,,14,camping-au-flamenco-76756,ARGELÈS-SUR-MER
https://www.campings.com/fr/camping/camping-la-pinede-enchantee-76550#?checkInDate=2023-04-08&night=7,,03/04/2023,08/04/2023,15/04/2023,325,325,MOBILHOME 5 personnes - MOREA,4 Adultes,,Camping La Pinède Enchantée,ARGELES,,14,camping-la-pinede-enchantee-76550,ARGELÈS-SUR-MER
https://www.campings.com/fr/camping/camping-la-pinede-enchantee-76550#?checkInDate=2023-04-08&night=7,,03/04/2023,08/04/2023,15/04/2023,465,465,MOBILHOME 4 personnes - COTTAGE,4 Adultes,,Camping La Pinède Enchantée,ARGELES,,14,camping-la-pinede-enchantee-76550,ARGELÈS-SUR-MER
https://www.campings.com/fr/camping/camping-la-chapelle-76746#?checkInDate=2023-04-08&night=7,,03/04/2023,08/04/2023,15/04/2023,296,296,MOBILHOME 6 personnes - Classic 4/6 places,4 Adultes,,Camping La Chapelle,ARGELES,,14,camping-la-chapelle-76746,ARGELÈS-SUR-MER
https://www.campings.com/fr/camping/camping-la-chapelle-76746#?checkInDate=2023-04-08&night=7,,03/04/2023,08/04/2023,15/04/2023,318,318,MOBILHOME 6 personnes - Comfort XL 4/6 places,4 Adultes,,Camping La Chapelle,ARGELES,,14,camping-la-chapelle-76746,ARGELÈS-SUR-MER
https://www.campings.com/fr/camping/camping-la-chapelle-76746#?checkInDate=2023-04-08&night=7,,03/04/2023,08/04/2023,15/04/2023,355,355,MOBILHOME 6 personnes - Comfort,6 Adultes,,Camping La Chapelle,ARGELES,,14,camping-la-chapelle-76746,ARGELÈS-SUR-MER
https://www.campings.com/fr/camping/camping-l-etoile-d-or-79472#?checkInDate=2023-04-08&night=7,,03/04/2023,08/04/2023,15/04/2023,350,300,MOBILHOME 6 personnes - Cottage Privilège 2 chambres + Clim,4 Adultes,,Camping l'Etoile d'Or,ARGELES,,14,camping-l-etoile-d-or-79472,ARGELÈS-SUR-MER
