url,web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,nom,Nb Personnes,localite,n_offre,date_debut-jour,Nb semaines,cle_station,nom_station
https://www.campings.com/fr/camping/camping-le-pinada-77247#?checkInDate=2023-11-04&night=7,,27/03/2023,04/11/2023,11/11/2023,300,300,MOBILHOME 5 personnes - TRITON - 2 chambres - Essentiel - 24m²,Camping Le Pinada,5 Adultes, 11200 FABREZAN,,,44,camping-le-pinada-77247,
https://www.campings.com/fr/camping/camping-le-pinada-77247#?checkInDate=2023-11-04&night=7,,27/03/2023,04/11/2023,11/11/2023,300,300,MOBILHOME 4 personnes - IRIS - 1 chambre - Récent - 20m²,Camping Le Pinada,4 Adultes, 11200 FABREZAN,,,44,camping-le-pinada-77247,
https://www.campings.com/fr/camping/camping-le-pinada-77247#?checkInDate=2023-11-04&night=7,,27/03/2023,04/11/2023,11/11/2023,350,350,MOBILHOME 5 personnes - LOUISIANE - 2 chambres - 22m²,Camping Le Pinada,5 Adultes, 11200 FABREZAN,,,44,camping-le-pinada-77247,
https://www.campings.com/fr/camping/camping-le-pinada-77247#?checkInDate=2023-11-04&night=7,,27/03/2023,04/11/2023,11/11/2023,380,380,MOBILHOME 5 personnes - TITANIA - 2 chambres - 24m²,Camping Le Pinada,5 Adultes, 11200 FABREZAN,,,44,camping-le-pinada-77247,
https://www.campings.com/fr/camping/camping-le-pinada-77247#?checkInDate=2023-11-04&night=7,,27/03/2023,04/11/2023,11/11/2023,400,400,MOBILHOME 4 personnes - MAGNOLIA - 2 chambres - 28m²,Camping Le Pinada,4 Adultes, 11200 FABREZAN,,,44,camping-le-pinada-77247,
https://www.campings.com/fr/camping/camping-le-pinada-77247#?checkInDate=2023-11-04&night=7,,27/03/2023,04/11/2023,11/11/2023,410,410,"MOBILHOME 4 personnes - BLEUET, VIOLETTE, CAPUCINE - 2 chambres - 28m²",Camping Le Pinada,4 Adultes, 11200 FABREZAN,,,44,camping-le-pinada-77247,
https://www.campings.com/fr/camping/camping-le-pinada-77247#?checkInDate=2023-11-04&night=7,,27/03/2023,04/11/2023,11/11/2023,410,410,"MOBILHOME 4 personnes - ORCHIDEE, JACINTHE - 2 chambres - 28m²",Camping Le Pinada,4 Adultes, 11200 FABREZAN,,,44,camping-le-pinada-77247,
https://www.campings.com/fr/camping/camping-le-pinada-77247#?checkInDate=2023-11-04&night=7,,27/03/2023,04/11/2023,11/11/2023,410,410,MOBILHOME 4 personnes - TULIPE - 2 chambres - 28 m²,Camping Le Pinada,4 Adultes, 11200 FABREZAN,,,44,camping-le-pinada-77247,
https://www.campings.com/fr/camping/camping-le-pinada-77247#?checkInDate=2023-11-04&night=7,,27/03/2023,04/11/2023,11/11/2023,410,410,MOBILHOME 5 personnes - TITANIA CLIM - 2 chambres - 24m² -,Camping Le Pinada,5 Adultes, 11200 FABREZAN,,,44,camping-le-pinada-77247,
https://www.campings.com/fr/camping/camping-le-pinada-77247#?checkInDate=2023-11-04&night=7,,27/03/2023,04/11/2023,11/11/2023,430,430,MOBILHOME 4 personnes - NEUF - 2 chambres - 31m²,Camping Le Pinada,4 Adultes, 11200 FABREZAN,,,44,camping-le-pinada-77247,
https://www.campings.com/fr/camping/camping-le-pinada-77247#?checkInDate=2023-11-04&night=7,,27/03/2023,04/11/2023,11/11/2023,500,500,"MOBILHOME 6 personnes - COQUELICOT, JONQUILLE - 3 chambres - Récent - 30m²",Camping Le Pinada,6 Adultes, 11200 FABREZAN,,,44,camping-le-pinada-77247,
https://www.campings.com/fr/camping/camping-le-pinada-77247#?checkInDate=2023-11-04&night=7,,27/03/2023,04/11/2023,11/11/2023,600,600,MOBILHOME 6 personnes - NEUF - 3 chambres - 34m²,Camping Le Pinada,6 Adultes, 11200 FABREZAN,,,44,camping-le-pinada-77247,
https://www.campings.com/fr/camping/camping-domaine-de-la-palme-77268#?checkInDate=2023-11-04&night=7,,27/03/2023,04/11/2023,11/11/2023,343,343,TENTE TOILE ET BOIS 5 personnes - ECOLODGE STANDARD sans sanitaires 20 m²,Camping Domaine de la Palme,5 Adultes, 11480 LA PALME,,,44,camping-domaine-de-la-palme-77268,
https://www.campings.com/fr/camping/camping-domaine-de-la-palme-77268#?checkInDate=2023-11-04&night=7,,27/03/2023,04/11/2023,11/11/2023,469,469,MOBILHOME 4 personnes - MH2 CONFORT 29 m² avec terrasse,Camping Domaine de la Palme,4 Adultes, 11480 LA PALME,,,44,camping-domaine-de-la-palme-77268,
https://www.campings.com/fr/camping/camping-domaine-de-la-palme-77268#?checkInDate=2023-11-04&night=7,,27/03/2023,04/11/2023,11/11/2023,490,490,MOBILHOME 4 personnes - MH2 FAMILLE CONFORT 29 m² avec terrasse et climatisation,Camping Domaine de la Palme,4 Adultes, 11480 LA PALME,,,44,camping-domaine-de-la-palme-77268,
https://www.campings.com/fr/camping/camping-domaine-de-la-palme-77268#?checkInDate=2023-11-04&night=7,,27/03/2023,04/11/2023,11/11/2023,511,511,CHALET 4 personnes - COTTAGE FAMILLE 28 m²,Camping Domaine de la Palme,4 Adultes, 11480 LA PALME,,,44,camping-domaine-de-la-palme-77268,
https://www.campings.com/fr/camping/camping-domaine-de-la-palme-77268#?checkInDate=2023-11-04&night=7,,27/03/2023,04/11/2023,11/11/2023,616,616,MOBILHOME 6 personnes - 3 chambres 32 m2 + clim + TV,Camping Domaine de la Palme,6 Adultes, 11480 LA PALME,,,44,camping-domaine-de-la-palme-77268,
https://www.campings.com/fr/camping/camping-la-source-78575#?checkInDate=2023-11-04&night=7,,27/03/2023,04/11/2023,11/11/2023,282,282,MOBILHOME 4 personnes - GENTIANE - 1 chambre sans jacuzzi -,Camping La Source,4 Adultes, 66730 SOURNIA,,,44,camping-la-source-78575,
https://www.campings.com/fr/camping/camping-la-source-78575#?checkInDate=2023-11-04&night=7,,27/03/2023,04/11/2023,11/11/2023,322,322,MOBILHOME 6 personnes - Valeriane,Camping La Source,6 Adultes, 66730 SOURNIA,,,44,camping-la-source-78575,
https://www.campings.com/fr/camping/camping-mas-llinas-77558#?checkInDate=2023-11-04&night=7,,27/03/2023,04/11/2023,11/11/2023,300,300,MOBILHOME 4 personnes - TRIGANO 26m2,Camping Mas Llinas,4 Adultes, 66160 LE BOULOU,,,44,camping-mas-llinas-77558,
https://www.campings.com/fr/camping/camping-mas-llinas-77558#?checkInDate=2023-11-04&night=7,,27/03/2023,04/11/2023,11/11/2023,320,320,MOBILHOME 4 personnes - TRIGANO EVO 29 TI,Camping Mas Llinas,4 Adultes, 66160 LE BOULOU,,,44,camping-mas-llinas-77558,
https://www.campings.com/fr/camping/camping-mas-llinas-77558#?checkInDate=2023-11-04&night=7,,27/03/2023,04/11/2023,11/11/2023,350,350,MOBILHOME 4 personnes - TRIGANO 33m2,Camping Mas Llinas,4 Adultes, 66160 LE BOULOU,,,44,camping-mas-llinas-77558,
https://www.campings.com/fr/camping/camping-mas-llinas-77558#?checkInDate=2023-11-04&night=7,,27/03/2023,04/11/2023,11/11/2023,430,430,MOBILHOME 6 personnes - O HARA 40 m² 3 chambres 2 wc / 2 salle de bains,Camping Mas Llinas,6 Adultes, 66160 LE BOULOU,,,44,camping-mas-llinas-77558,
https://www.campings.com/fr/camping/camping-international-du-roussillon-78453#?checkInDate=2023-11-04&night=7,,27/03/2023,04/11/2023,11/11/2023,230,230,MOBILHOME 6 personnes - Gamme Essentiel,Camping International du Roussillon,4 Adultes, 66600 SALSES LE CHATEAU,,,44,camping-international-du-roussillon-78453,
