url,web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,nom,Nb Personnes,localite,n_offres,date_debut-jour,Nb semaines,cle_station,nom_station
https://www.campings.com/fr/camping/camping-campeole-la-cote-des-roses-77876#?checkInDate=2023-08-05&night=7,,27/03/2023,05/08/2023,12/08/2023,1799,1799,MOBILHOME 6 personnes - Cottage 3 chambres Climatisé + TV + LV,Camping Campéole La Côte des Roses,6 Adultes, 11100 NARBONNE PLAGE,,,31,camping-campeole-la-cote-des-roses-77876,
https://www.campings.com/fr/camping/camping-campeole-la-cote-des-roses-77876#?checkInDate=2023-08-05&night=7,,27/03/2023,05/08/2023,12/08/2023,1743,1682,MOBILHOME 6 personnes - Venezia CONFORT Climatisé Vue Plan deau,Camping Campéole La Côte des Roses,6 Adultes, 11100 NARBONNE PLAGE,,,31,camping-campeole-la-cote-des-roses-77876,
https://www.campings.com/fr/camping/camping-soleil-d-oc-78992#?checkInDate=2023-08-05&night=7,,27/03/2023,05/08/2023,12/08/2023,1599,1599,MOBILHOME 6 personnes - 2 chambres,Camping Soleil d'Oc,4 Adultes, 11100 NARBONNE PLAGE,,,31,camping-soleil-d-oc-78992,
https://www.campings.com/fr/camping/camping-la-falaise-77875#?checkInDate=2023-08-05&night=7,,27/03/2023,05/08/2023,12/08/2023,1561,1561,MOBILHOME 5 personnes - Cosy 2 chambres (I5P2),Camping La Falaise,4 Adultes, 11100 NARBONNE PLAGE,,,31,camping-la-falaise-77875,
https://www.campings.com/fr/camping/camping-la-falaise-77875#?checkInDate=2023-08-05&night=7,,27/03/2023,05/08/2023,12/08/2023,1610,1610,MOBILHOME 6 personnes - Cosy 2 chambres (I6P2),Camping La Falaise,5 Adultes, 11100 NARBONNE PLAGE,,,31,camping-la-falaise-77875,
https://www.campings.com/fr/camping/camping-la-falaise-77875#?checkInDate=2023-08-05&night=7,,27/03/2023,05/08/2023,12/08/2023,1673,1673,MOBILHOME 4 personnes - Cosy 2 chambres Climatisé  (I42C),Camping La Falaise,4 Adultes, 11100 NARBONNE PLAGE,,,31,camping-la-falaise-77875,
https://www.campings.com/fr/camping/camping-le-pinada-77247#?checkInDate=2023-08-05&night=7,,27/03/2023,05/08/2023,12/08/2023,680,680,MOBILHOME 5 personnes - TRITON - 2 chambres - Essentiel - 24m²,Camping Le Pinada,5 Adultes, 11200 FABREZAN,,,31,camping-le-pinada-77247,
https://www.campings.com/fr/camping/camping-le-pinada-77247#?checkInDate=2023-08-05&night=7,,27/03/2023,05/08/2023,12/08/2023,780,780,MOBILHOME 5 personnes - TITANIA - 2 chambres - 24m²,Camping Le Pinada,5 Adultes, 11200 FABREZAN,,,31,camping-le-pinada-77247,
https://www.campings.com/fr/camping/camping-le-pinada-77247#?checkInDate=2023-08-05&night=7,,27/03/2023,05/08/2023,12/08/2023,800,800,MOBILHOME 4 personnes - MAGNOLIA - 2 chambres - 28m²,Camping Le Pinada,4 Adultes, 11200 FABREZAN,,,31,camping-le-pinada-77247,
https://www.campings.com/fr/camping/camping-le-pinada-77247#?checkInDate=2023-08-05&night=7,,27/03/2023,05/08/2023,12/08/2023,830,830,"MOBILHOME 4 personnes - BLEUET, VIOLETTE, CAPUCINE - 2 chambres - 28m²",Camping Le Pinada,4 Adultes, 11200 FABREZAN,,,31,camping-le-pinada-77247,
https://www.campings.com/fr/camping/camping-le-pinada-77247#?checkInDate=2023-08-05&night=7,,27/03/2023,05/08/2023,12/08/2023,830,830,"MOBILHOME 4 personnes - ORCHIDEE, JACINTHE - 2 chambres - 28m²",Camping Le Pinada,4 Adultes, 11200 FABREZAN,,,31,camping-le-pinada-77247,
https://www.campings.com/fr/camping/camping-le-pinada-77247#?checkInDate=2023-08-05&night=7,,27/03/2023,05/08/2023,12/08/2023,850,850,MOBILHOME 5 personnes - TITANIA CLIM - 2 chambres - 24m² -,Camping Le Pinada,5 Adultes, 11200 FABREZAN,,,31,camping-le-pinada-77247,
https://www.campings.com/fr/camping/camping-le-pinada-77247#?checkInDate=2023-08-05&night=7,,27/03/2023,05/08/2023,12/08/2023,970,970,"MOBILHOME 6 personnes - COQUELICOT, JONQUILLE - 3 chambres - Récent - 30m²",Camping Le Pinada,6 Adultes, 11200 FABREZAN,,,31,camping-le-pinada-77247,
https://www.campings.com/fr/camping/camping-le-pinada-77247#?checkInDate=2023-08-05&night=7,,27/03/2023,05/08/2023,12/08/2023,1080,1080,MOBILHOME 6 personnes - NEUF - 3 chambres - 34m²,Camping Le Pinada,6 Adultes, 11200 FABREZAN,,,31,camping-le-pinada-77247,
https://www.campings.com/fr/camping/camping-innature-camping-sites-et-paysages-89352#?checkInDate=2023-08-05&night=7,,27/03/2023,05/08/2023,12/08/2023,875,875,CHALET 4 personnes - 2 chambres,Camping Innature - Camping Sites et Paysages,4 Adultes, 11190 ARQUES,,,31,camping-innature-camping-sites-et-paysages-89352,
https://www.campings.com/fr/camping/camping-innature-camping-sites-et-paysages-89352#?checkInDate=2023-08-05&night=7,,27/03/2023,05/08/2023,12/08/2023,945,945,MOBILHOME 4 personnes - 2 chambres,Camping Innature - Camping Sites et Paysages,4 Adultes, 11190 ARQUES,,,31,camping-innature-camping-sites-et-paysages-89352,
https://www.campings.com/fr/camping/camping-innature-camping-sites-et-paysages-89352#?checkInDate=2023-08-05&night=7,,27/03/2023,05/08/2023,12/08/2023,980,980,CHALET 6 personnes - 3 chambres,Camping Innature - Camping Sites et Paysages,6 Adultes, 11190 ARQUES,,,31,camping-innature-camping-sites-et-paysages-89352,
