url,web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,nom,Nb Personnes,localite,n_offre,date_debut-jour,Nb semaines,cle_station,nom_station
https://www.campings.com/fr/camping/le-fun-camping-79641#?checkInDate=2023-04-08&night=7,,27/03/2023,08/04/2023,15/04/2023,321,321,MOBILHOME 5 personnes - Alto pour 4/6 personnes,Le Fun Camping,4 Adultes, 11510 FITOU,,,14,le-fun-camping-79641,
https://www.campings.com/fr/camping/le-fun-camping-79641#?checkInDate=2023-04-08&night=7,,27/03/2023,08/04/2023,15/04/2023,1600,1600,"VILLA 8 personnes - CASA PALMA villa avec piscine privée, vue sur étang de La Palme - 4 chambres - grande terrasse bois",Le Fun Camping,8 Adultes, 11510 FITOU,,,14,le-fun-camping-79641,
https://www.campings.com/fr/camping/camping-le-fontaulie-sud-94488#?checkInDate=2023-04-08&night=7,,27/03/2023,08/04/2023,15/04/2023,105,105,EMPLACEMENT 6 personnes - Randonneurs/cyclistes,Camping Le Fontaulie Sud,, 11500 NEBIAS,,,14,camping-le-fontaulie-sud-94488,
https://www.campings.com/fr/camping/camping-le-fontaulie-sud-94488#?checkInDate=2023-04-08&night=7,,27/03/2023,08/04/2023,15/04/2023,161,161,EMPLACEMENT 6 personnes - Véhicules 2 personnes sans électricité,Camping Le Fontaulie Sud,, 11500 NEBIAS,,,14,camping-le-fontaulie-sud-94488,
https://www.campings.com/fr/camping/camping-le-fontaulie-sud-94488#?checkInDate=2023-04-08&night=7,,27/03/2023,08/04/2023,15/04/2023,175,175,EMPLACEMENT 6 personnes - Véhicules 2 personnes avec électricité,Camping Le Fontaulie Sud,, 11500 NEBIAS,,,14,camping-le-fontaulie-sud-94488,
https://www.campings.com/fr/camping/camping-le-fontaulie-sud-94488#?checkInDate=2023-04-08&night=7,,27/03/2023,08/04/2023,15/04/2023,310,310,MOBILHOME 4 personnes - Horizon 1 ou 2,Camping Le Fontaulie Sud,4 Adultes, 11500 NEBIAS,,,14,camping-le-fontaulie-sud-94488,
https://www.campings.com/fr/camping/camping-le-fontaulie-sud-94488#?checkInDate=2023-04-08&night=7,,27/03/2023,08/04/2023,15/04/2023,310,310,MOBILHOME 4 personnes - Atlantic,Camping Le Fontaulie Sud,4 Adultes, 11500 NEBIAS,,,14,camping-le-fontaulie-sud-94488,
https://www.campings.com/fr/camping/camping-la-cremade-79572#?checkInDate=2023-04-08&night=7,,27/03/2023,08/04/2023,15/04/2023,180,180,CARAVANE 4 personnes - Sans sanitaires,Camping La Cremade,4 Adultes, 11140 AXAT,,,14,camping-la-cremade-79572,
https://www.campings.com/fr/camping/camping-la-cremade-79572#?checkInDate=2023-04-08&night=7,,27/03/2023,08/04/2023,15/04/2023,290,290,HÉBERGEMENT INSOLITE 4 personnes - Yourte scandinave - sans sanitaires - terrasse,Camping La Cremade,4 Adultes, 11140 AXAT,,,14,camping-la-cremade-79572,
https://www.campings.com/fr/camping/camping-la-cremade-79572#?checkInDate=2023-04-08&night=7,,27/03/2023,08/04/2023,15/04/2023,290,290,TENTE TOILE ET BOIS 4 personnes - Tente Maori - sans sanitaires - terrasse,Camping La Cremade,4 Adultes, 11140 AXAT,,,14,camping-la-cremade-79572,
