web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,n_offre,nom,Nb personnes,localite,date_debut-jour,Nb semaines,cle_station,nom_station
,11/09/2023,19/05/2024,26/05/2024,373.80,261.66,MOBILHOME 6 personnes - Mobilhome 6 personnes,,Camping maeva Escapades - Les Cottages de Perpignan,6 Adultes, 66000 PERPIGNAN,,20,camping-maeva-escapades-les-cottages-de-perpignan-92880,
,11/09/2023,24/09/2023,01/10/2023,217,217,TENTE TOILE ET BOIS 4 personnes - Robinson (sans sanitaires),,Camping les Chelles,4 Adultes, 63880 OLLIERGUES,,38,camping-les-chelles-77900,
,11/09/2023,24/09/2023,01/10/2023,242,242,"MOBILHOME 4 personnes - 2 chambres M45, M60, M61, M62",,Camping les Chelles,4 Adultes, 63880 OLLIERGUES,,38,camping-les-chelles-77900,
,11/09/2023,24/09/2023,01/10/2023,252,252,CHALET 7 personnes - 2 chambres,,Camping les Chelles,5 Adultes, 63880 OLLIERGUES,,38,camping-les-chelles-77900,
,11/09/2023,24/09/2023,01/10/2023,298,298,CHALET 7 personnes - Luxe 2 chambres,,Camping les Chelles,5 Adultes, 63880 OLLIERGUES,,38,camping-les-chelles-77900,
,11/09/2023,24/09/2023,01/10/2023,298,298,"MOBILHOME 6 personnes - 3 chambres - M41, M44",,Camping les Chelles,6 Adultes, 63880 OLLIERGUES,,38,camping-les-chelles-77900,
,11/09/2023,24/09/2023,01/10/2023,333,333,CHALET 8 personnes - Luxe 3 chambres,,Camping les Chelles,6 Adultes, 63880 OLLIERGUES,,38,camping-les-chelles-77900,
,11/09/2023,24/09/2023,01/10/2023,350,350,MOBILHOME 8 personnes - 4 chambres,,Camping les Chelles,8 Adultes, 63880 OLLIERGUES,,38,camping-les-chelles-77900,
,11/09/2023,28/04/2024,05/05/2024,546,546,CHALET 5 personnes - Grand Confort Morea 3 Pièces 5 Personnes Climatisé + TV,,Camping L'Hermitage,5 Adultes, 83220 LE PRADET,,17,camping-lhermitage-79791,
,11/09/2023,28/04/2024,05/05/2024,787.50,787.50,CHALET 6 personnes - Grand Confort VIP 4 Pièces 6 Personnes Climatisé + TV + Jacuzzi,,Camping L'Hermitage,6 Adultes, 83220 LE PRADET,,17,camping-lhermitage-79791,
,11/09/2023,17/09/2023,24/09/2023,313.96,219.77,APPARTEMENT 2 personnes - Suite 2 Personnes Climatisé + TV,,Camping maeva Escapades - Les Cottages de Perpignan,2 Adultes, 66000 PERPIGNAN,,37,camping-maeva-escapades-les-cottages-de-perpignan-92880,
,11/09/2023,17/09/2023,24/09/2023,373.80,261.66,MOBILHOME 6 personnes - Mobilhome 6 personnes,,Camping maeva Escapades - Les Cottages de Perpignan,6 Adultes, 66000 PERPIGNAN,,37,camping-maeva-escapades-les-cottages-de-perpignan-92880,
,11/09/2023,21/10/2023,28/10/2023,315,315,MOBILHOME 4 personnes - Arauris,,Camping les Jardins d'Agathe,4 Adultes,98 route de la Guiraudette ,,42,camping-les-jardins-d-agathe-76695,
