web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,n_offre,nom,Nb personnes,localite,date_debut-jour,Nb semaines,cle_station,nom_station
,11/09/2023,23/09/2023,30/09/2023,91,91,EMPLACEMENT - Sans Electricité,,Camping L'Or Bleu,, 04330 BARREME,,38,camping-lor-bleu-77827,
,11/09/2023,23/09/2023,30/09/2023,112,112,EMPLACEMENT - Avec Electricité,,Camping L'Or Bleu,, 04330 BARREME,,38,camping-lor-bleu-77827,
,11/09/2023,23/09/2023,30/09/2023,200,200,MOBILHOME 5 personnes - IRM,,Camping L'Or Bleu,5 Adultes, 04330 BARREME,,38,camping-lor-bleu-77827,
,11/09/2023,15/10/2023,22/10/2023,378,378,MOBILHOME 6 personnes - FAMILLE PLUS,,Camping Ile d'Amour,6 Adultes,sur,,41,camping-ile-d-amour-87221,
,11/09/2023,11/05/2024,18/05/2024,1221.99,855.39,MOBILHOME 6 personnes - 4 Pièces 6 Personnes Climatisé + TV,,Camping Le Suroit,6 Adultes, 17190 SAINT GEORGES D'OLERON,,19,camping-le-suroit-78245,
,11/09/2023,16/09/2023,23/09/2023,441,315,MOBILHOME 5 personnes - Cosy 2 chambres Climatisé (I52C),,Domaine Résidentiel de Plein Air Le Neptune,4 Adultes, 66700 ARGELES,,37,domaine-residentiel-de-plein-air-le-neptune-76748,
,11/09/2023,16/09/2023,23/09/2023,462,336,MOBILHOME 6 personnes - Cosy 2 chambres Climatisé (I62C),,Domaine Résidentiel de Plein Air Le Neptune,4 Adultes, 66700 ARGELES,,37,domaine-residentiel-de-plein-air-le-neptune-76748,
,11/09/2023,16/09/2023,23/09/2023,497,357,MOBILHOME 6 personnes - Cosy 3 chambres Climatisé (I63C),,Domaine Résidentiel de Plein Air Le Neptune,6 Adultes, 66700 ARGELES,,37,domaine-residentiel-de-plein-air-le-neptune-76748,
,11/09/2023,16/09/2023,23/09/2023,525,378,MOBILHOME 5 personnes - Premium 2 chambres (V5P2),,Domaine Résidentiel de Plein Air Le Neptune,4 Adultes, 66700 ARGELES,,37,domaine-residentiel-de-plein-air-le-neptune-76748,
,11/09/2023,15/10/2023,22/10/2023,327.50,327.50,TENTE TOILE ET BOIS 2 personnes - Mini coco sweet,,Camping Domaine Du Château- Epinal,2 Adultes, 88000 EPINAL,,41,camping-domaine-du-chateau-epinal-79740,
,11/09/2023,15/10/2023,22/10/2023,411.50,411.50,TENTE TOILE ET BOIS 4 personnes - Coco sweet H-Coco sweet I,,Camping Domaine Du Château- Epinal,4 Adultes, 88000 EPINAL,,41,camping-domaine-du-chateau-epinal-79740,
,11/09/2023,15/10/2023,22/10/2023,663.50,663.50,MOBILHOME 5 personnes - MIRABELLE,,Camping Domaine Du Château- Epinal,5 Adultes, 88000 EPINAL,,41,camping-domaine-du-chateau-epinal-79740,
,11/09/2023,15/10/2023,22/10/2023,663.50,663.50,MOBILHOME 6 personnes - BERGAMOTE,,Camping Domaine Du Château- Epinal,6 Adultes, 88000 EPINAL,,41,camping-domaine-du-chateau-epinal-79740,
,11/09/2023,15/10/2023,22/10/2023,663.50,663.50,MOBILHOME 6 personnes - JONQUILLE,,Camping Domaine Du Château- Epinal,6 Adultes, 88000 EPINAL,,41,camping-domaine-du-chateau-epinal-79740,
,11/09/2023,07/10/2023,14/10/2023,126,126,EMPLACEMENT - Premium,,Camping Le Ranch des Volcans,, 63140 CHATEL GUYON,,40,camping-le-ranch-des-volcans-77114,
,11/09/2023,07/10/2023,14/10/2023,229,229,MOBILHOME 2 personnes - Wyoming 1,,Camping Le Ranch des Volcans,2 Adultes, 63140 CHATEL GUYON,,40,camping-le-ranch-des-volcans-77114,
,11/09/2023,07/10/2023,14/10/2023,399,399,MOBILHOME 4 personnes - Montana 2,,Camping Le Ranch des Volcans,4 Adultes, 63140 CHATEL GUYON,,40,camping-le-ranch-des-volcans-77114,
,11/09/2023,07/10/2023,14/10/2023,1198,1198,MOBILHOME 2 personnes - Texas 1,,Camping Le Ranch des Volcans,2 Adultes, 63140 CHATEL GUYON,,40,camping-le-ranch-des-volcans-77114,
,11/09/2023,23/09/2023,30/09/2023,434,434,MOBILHOME 5 personnes - Cottage Lavande 5 pers,,Camping Le Luberon,5 Adultes, 84400 APT,,38,camping-le-luberon-96400,
,11/09/2023,23/09/2023,30/09/2023,434,434,MOBILHOME 4 personnes - Cottage Luberon premium 4pers,,Camping Le Luberon,4 Adultes, 84400 APT,,38,camping-le-luberon-96400,
,11/09/2023,23/09/2023,30/09/2023,595,595,MOBILHOME 4 personnes - Cottage Romarin 4 pers Spa,,Camping Le Luberon,4 Adultes, 84400 APT,,38,camping-le-luberon-96400,
,11/09/2023,07/10/2023,14/10/2023,250,250,MOBILHOME 4 personnes - 3M,,Camping Domino,4 Adultes, 34440 NISSAN LEZ ENSERUNE,,40,camping-domino-77940,
,11/09/2023,07/10/2023,14/10/2023,310,310,MOBILHOME 4 personnes - 4M,,Camping Domino,4 Adultes, 34440 NISSAN LEZ ENSERUNE,,40,camping-domino-77940,
,11/09/2023,07/10/2023,14/10/2023,195,195,TENTE TOILE ET BOIS 5 personnes - BANGALI sans sanitaires,,Camping du Pré Morjal,5 Adultes, 48320 ISPAGNAC,,40,camping-du-pre-morjal-81185,
,11/09/2023,07/10/2023,14/10/2023,210,210,TENTE TOILE ET BOIS 5 personnes - LODGE sans sanitaires,,Camping du Pré Morjal,5 Adultes, 48320 ISPAGNAC,,40,camping-du-pre-morjal-81185,
,11/09/2023,07/10/2023,14/10/2023,240,240,TENTE TOILE ET BOIS 5 personnes - BENGALI CONFORT sans sanitaires,,Camping du Pré Morjal,5 Adultes, 48320 ISPAGNAC,,40,camping-du-pre-morjal-81185,
,11/09/2023,07/10/2023,14/10/2023,395,395,CHALET 6 personnes - TOUT CONFORT,,Camping du Pré Morjal,6 Adultes, 48320 ISPAGNAC,,40,camping-du-pre-morjal-81185,
,11/09/2023,07/10/2023,14/10/2023,395,395,MOBILHOME 7 personnes - MH3 CONFORT,,Camping du Pré Morjal,6 Adultes, 48320 ISPAGNAC,,40,camping-du-pre-morjal-81185,
,11/09/2023,24/09/2023,01/10/2023,1097,800.81,MOBILHOME 6 personnes - Mobil Home Confort Plus 4 Pièces 6 Personnes + TV,,Camping Saint Tro Park,6 Adultes, 17370 SAINT TROJAN LES BAINS,,38,camping-saint-tro-park-78410,
,11/09/2023,17/09/2023,24/09/2023,233,233,MOBILHOME 6 personnes - CONFORT 3ch,,Camping LES FLOTS-ATLANTIQUE Village 2 (Ex. Perroche Plage),6 Adultes, 17310 SAINT PIERRE D'OLERON,,37,camping-les-flots-atlantique-village-2-ex-perroche-plage-77393,
,11/09/2023,17/09/2023,24/09/2023,295,295,BUNGALOW TOILÉ 4 personnes - COCO SWEET (SANS SANITAIRES),,Camping LES FLOTS-ATLANTIQUE Village 2 (Ex. Perroche Plage),4 Adultes, 17310 SAINT PIERRE D'OLERON,,37,camping-les-flots-atlantique-village-2-ex-perroche-plage-77393,
,11/09/2023,07/10/2023,14/10/2023,375,375,MOBILHOME 4 personnes - SUPER MERCURE,,Camping Le Maine,4 Adultes, 17370 GRAND VILLAGE PLAGE,,40,camping-le-maine-77290,
,11/09/2023,17/09/2023,24/09/2023,525,525,MOBILHOME 6 personnes - MH 76,,Camping Las Planes,4 Adultes, 66740 LAROQUE DES ALBERES,,37,camping-las-planes-79421,
,11/09/2023,17/09/2023,24/09/2023,589.40,589.40,CHALET 4 personnes - Chalet SCANDINAVE - 1 chambre 1 mezzanine,,CAMPING LES CHALETS DU LAC BELCAIRE ****,4 Adultes, 11340 BELCAIRE,,37,camping-les-chalets-du-lac-belcaire-76860,
,11/09/2023,17/09/2023,24/09/2023,740.60,740.60,CHALET 4 personnes - ISARD VOILÉ,,CAMPING LES CHALETS DU LAC BELCAIRE ****,4 Adultes, 11340 BELCAIRE,,37,camping-les-chalets-du-lac-belcaire-76860,
,11/09/2023,17/09/2023,24/09/2023,774.20,774.20,CHALET 4 personnes - MARMOTTE,,CAMPING LES CHALETS DU LAC BELCAIRE ****,4 Adultes, 11340 BELCAIRE,,37,camping-les-chalets-du-lac-belcaire-76860,
