,11/09/2023,20/04/2024,27/04/2024,763,763,MOBILHOME 6 personnes - Estérel,,Camping RCN Domaine de la Noguière,6 Adultes, 83490 LE MUY,,16,camping-rcn-domaine-de-la-noguiere-77593,
,11/09/2023,01/10/2023,08/10/2023,185.50,185.50,EMPLACEMENT - electricité,,Camping Le Clos du Rhône,, 13460 SAINTES MARIES DE LA MER (13),,39,camping-le-clos-du-rhone-78449,
,11/09/2023,01/10/2023,08/10/2023,206.50,206.50,EMPLACEMENT - Emplact électricité/eau,,Camping Le Clos du Rhône,, 13460 SAINTES MARIES DE LA MER (13),,39,camping-le-clos-du-rhone-78449,
,11/09/2023,01/10/2023,08/10/2023,312,312,EMPLACEMENT,,Camping Le Clos du Rhône,, 13460 SAINTES MARIES DE LA MER (13),,39,camping-le-clos-du-rhone-78449,
,11/09/2023,24/12/2023,31/12/2023,826,826,MOBILHOME 6 personnes - COTTAGE,,Camping Paradis - Le Pressoir,6 Adultes, 33570 PETIT PALAIS ET CORNEMPS,,51,camping-paradis-le-pressoir-76675,
,11/09/2023,28/04/2024,05/05/2024,510,510,TENTE TOILE ET BOIS 4 personnes - LODGE TRAPPEUR 4 pers,,Camping Pene Blanche,4 Adultes, 65510 LOUDENVIELLE,,17,camping-pene-blanche-79568,
,11/09/2023,28/04/2024,05/05/2024,526,526,MOBILHOME 4 personnes - CONFORT 4 Pers (27m²),,Camping Pene Blanche,4 Adultes, 65510 LOUDENVIELLE,,17,camping-pene-blanche-79568,
,11/09/2023,04/02/2024,11/02/2024,476,476,MOBILHOME 4 personnes - 2 CHAMBRES,,Camping Le Pontis,4 Adultes,DIT LE PONTIS ,,5,camping-le-pontis-78732,
,11/09/2023,04/02/2024,11/02/2024,490,490,MOBILHOME 5 personnes - 3 chambres,,Camping Le Pontis,5 Adultes,DIT LE PONTIS ,,5,camping-le-pontis-78732,
,11/09/2023,01/10/2023,08/10/2023,430,430,MOBILHOME 6 personnes - Confort 3 chambres (attention lit mezzanine max 75kg),,Camping Les Lavandes Valensole,6 Adultes, 04210 VALENSOLE,,39,camping-les-lavandes-valensole-80590,
,11/09/2023,01/10/2023,08/10/2023,480,480,MOBILHOME 6 personnes - Privilège 3 chambres (attention lit mezzanine max 75kg),,Camping Les Lavandes Valensole,6 Adultes, 04210 VALENSOLE,,39,camping-les-lavandes-valensole-80590,
,11/09/2023,24/09/2023,01/10/2023,840,840,MOBILHOME 4 personnes - PANORAMIQUE,,Camping Chantecler,4 Adultes,André ,,38,camping-chantecler-80231,
,11/09/2023,24/09/2023,01/10/2023,1092,1092,MAISON 4 personnes - LE BASTIDON 42 m²,,Camping Chantecler,4 Adultes,André ,,38,camping-chantecler-80231,
,11/09/2023,15/10/2023,22/10/2023,476,476,MOBILHOME 2 personnes - PREMIUM,,Camping Vallée Heureuse,2 Adultes, 13660 ORGON,,41,camping-vallee-heureuse-77915,
,11/09/2023,15/10/2023,22/10/2023,476,476,MOBILHOME 5 personnes - 5 places Confort,,Camping Vallée Heureuse,5 Adultes, 13660 ORGON,,41,camping-vallee-heureuse-77915,
