web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,n_offre,nom,Nb personnes,localite,date_debut-jour,Nb semaines,cle_station,nom_station
,11/09/2023,07/10/2023,14/10/2023,238,192.50,TENTE 5 personnes - TRAPPEUR (sans sanitaires),,Camping Le Valenty,5 Adultes, 46700 SOTURAC,,40,camping-le-valenty-81384,
,11/09/2023,07/10/2023,14/10/2023,286,231,BUNGALOW TOILÉ 5 personnes - Tente Sarlat sans sanitaires,,Camping Le Valenty,5 Adultes, 46700 SOTURAC,,40,camping-le-valenty-81384,
,11/09/2023,07/10/2023,14/10/2023,310,250,MOBILHOME 4 personnes - LOT ET GARONNE,,Camping Le Valenty,4 Adultes, 46700 SOTURAC,,40,camping-le-valenty-81384,
,11/09/2023,07/10/2023,14/10/2023,394,317,MOBILHOME 6 personnes - PANORAMIQUE DORDOGNE,,Camping Le Valenty,4 Adultes, 46700 SOTURAC,,40,camping-le-valenty-81384,
,11/09/2023,07/10/2023,14/10/2023,418,336.50,MOBILHOME 4 personnes - LOT,,Camping Le Valenty,4 Adultes, 46700 SOTURAC,,40,camping-le-valenty-81384,
,11/09/2023,24/09/2023,01/10/2023,420,420,MOBILHOME 6 personnes - PARTICULIER SALVATI,,Camping Domaine des Iscles,6 Adultes, 13640 LA ROQUE D'ANTHERON,,38,camping-domaine-des-iscles-76662,
,11/09/2023,17/09/2023,24/09/2023,449,449,MOBILHOME 8 personnes - PRESTIGE,,Camping l'Océan,6 Adultes, 85470 BREM SUR MER,,37,camping-locean-76948,
,11/09/2023,07/10/2023,14/10/2023,290,290,TENTE TOILE ET BOIS 4 personnes - Tente Maori - sans sanitaires - terrasse,,Camping La Cremade,4 Adultes, 11140 AXAT,,40,camping-la-cremade-79572,
,11/09/2023,07/10/2023,14/10/2023,315,315,CHALET 2 personnes - Lodge Bois 16m2,,Camping La Cremade,2 Adultes, 11140 AXAT,,40,camping-la-cremade-79572,
,11/09/2023,07/10/2023,14/10/2023,350,350,MOBILHOME 6 personnes - Mobilhome 6 personnes,,Camping La Cremade,6 Adultes, 11140 AXAT,,40,camping-la-cremade-79572,
,11/09/2023,29/10/2023,05/11/2023,488,488,MOBILHOME 4 personnes - 2 CHAMBRES,,Camping du Lac de Saujon,4 Adultes, 17600 SAUJON,,43,camping-du-lac-de-saujon-78504,
,11/09/2023,29/10/2023,05/11/2023,588,588,MOBILHOME 6 personnes - 3 CHAMBRES,,Camping du Lac de Saujon,6 Adultes, 17600 SAUJON,,43,camping-du-lac-de-saujon-78504,
,11/09/2023,16/09/2023,23/09/2023,654.69,419,MOBILHOME 6 personnes - Klassic 4 Pièces 6 Personnes Climatisé + TV,,Camping maeva Respire Ecolodge Etoile d'Argens,6 Adultes, 83370 SAINT AYGULF,,37,camping-maeva-respire-ecolodge-etoile-d-argens-78194,
,11/09/2023,16/09/2023,23/09/2023,1693.77,1084.01,CHALET 6 personnes - Lodge Kabane sur Pilotis 4 Pièces 6 Personnes Climatisé + TV,,Camping maeva Respire Ecolodge Etoile d'Argens,6 Adultes, 83370 SAINT AYGULF,,37,camping-maeva-respire-ecolodge-etoile-d-argens-78194,
